airport,lat,lon
EDDF,50.033333,8.570556
EDDM,48.353802,11.7861
EGKK,51.148102,-0.190278
EGLL,51.4706,-0.461941
EHAM,52.308601,4.76389
EIDW,53.421299,-6.27007
LATI,41.4146995544,19.7206001282
LBBG,42.56959915161133,27.515199661254883
LBSF,42.69669342041016,23.411436080932617
LDDU,42.5614013671875,18.268199920654297
LDSP,43.53889846801758,16.29800033569336
LDZA,45.7429008484,16.0687999725
LEBL,41.2971,2.07846
LEMD,40.471926,-3.56264
LFPG,49.012798,2.55
LIRF,41.8002778,12.2388889
LQSA,43.82460021972656,18.331499099731445
LWSK,41.961601,21.621401
BKPR,42.5728,21.035801
LYTV,42.40470123291016,18.72330093383789
