airport,df,df_low,df_high,nc,nc_low,nc_high,loc,loc_low,loc_high,scale,scale_low,scale_high
EGLL,3.421672922279733,3.3939728978527666,3.782372112890578,1.130141967367094,1.1271739902312088,1.4327761750057728,-0.0510284642349926,-4.055607204407997,-0.0474191966333311,12.346341895316606,12.305186145621798,12.384842000974128
LFPG,3.4170409073249512,3.385737629507598,3.4523483979116967,1.1810880302130595,1.1655639468332393,1.197619064004993,-6.58488076159021,-6.758025601638216,-6.450499663192005,9.64922098872745,9.626531251244351,9.686840374919594
EHAM,3.017845327453097,2.9907317962185784,3.052068946170579,1.1926997887646258,1.1755272663769047,1.2071630437265863,-4.862707943402772,-5.03498036683663,-4.691975202950687,9.698919525887003,9.66784754655176,9.731792903060096
EDDF,3.661600178159021,3.617794376154788,3.704546608644844,1.1287511548852904,1.1111653615312878,1.1459606036869956,-11.730609600034796,-11.922978874352346,-11.536783462617068,10.670860474689764,10.63901982464712,10.69943344271602
LEMD,3.6713370940398695,3.629687978210788,3.708311825434389,0.9497971689366708,0.9364002066231903,0.966645010922028,-5.237761688199506,-5.409699958680532,-5.103434388680955,9.67973506916055,9.643462727237546,9.717441851861032
LEBL,3.567664927554105,3.519232859430261,3.6246467127266366,1.1380316927363117,1.121766620931935,1.160173950106101,-7.243714348708263,-7.473377610025734,-7.08230230849577,9.310257254761083,9.280388091254803,9.34514173905496
EDDM,4.407208442669429,3.680578820886505,4.481661871931627,1.2638347964399916,0.1988277443904436,1.2923095978215635,-10.9554169658789,-11.233792746337356,-0.0145199707922243,9.138161241983669,9.1183222226059,9.464611350033742
EGKK,4.1573393822944045,4.091984484122886,4.218971138894803,1.5385460870258871,1.510351176674887,1.5680316126652587,-10.332452610821932,-10.67084871857161,-9.976059006560568,11.9243608627459,11.880267404274504,11.971739082553896
LIRF,4.392917769443537,4.323040889056814,4.457354086484509,0.9261542627828012,0.9060134484118084,0.945433158555658,-11.926540337319665,-12.14601521385222,-11.697875634030796,10.328586370739613,10.28170250522658,10.36329439673394
EIDW,4.543428326180938,4.4582597068608045,4.64603789927054,0.9620187612953496,0.936736799342346,0.9950142078831022,-11.435398238756065,-11.875111422950605,-11.129279465799554,11.273079005802243,11.214950952146694,11.318485201651251
LATI,4.467421366237869,4.237628597564366,4.708331505187202,0.4503851052509818,0.3455736368264539,0.4967625325840923,-1.142335745384111,-1.6749928335088249,-0.0504692629586565,9.755457672681317,9.632318642667684,9.878573071200552
LQSA,4.124028875724526,3.825461234934404,4.421763844343996,0.6697795765780747,0.4000096066503201,0.7574180221613077,-3.094904336550204,-4.115395865568183,-0.051423573958495,10.167801761092043,10.005978193576937,10.370879722645382
LBSF,4.090312917806392,3.950321855167608,4.233222310732015,0.4135540228773052,0.1894248728736401,0.4538312388598667,-4.724655735275928,-5.23471895113375,-1.9995682415349867,10.373893039930705,10.303880606846658,10.46982774238139
LBBG,3.8399248949465137,3.616169340601105,4.071774296505425,0.5989768837686216,0.5335708974382177,0.6651576385041937,-7.640131281358293,-8.365546793879197,-6.819467132572541,10.231879220211916,10.03398190635617,10.376945907811368
LDZA,4.217998437204825,3.9554879864908776,4.386290627708582,0.6915011821955013,0.2221008143658145,0.7488452019376861,-4.916447303501684,-5.447252104075694,-0.0354488198902707,9.187637628133114,9.092745234686411,9.27140806497784
LDSP,3.999940574916673,3.7948214020182864,4.159663539405646,0.7547498246544571,0.6913145964439306,0.8056965759586621,-3.849625492725613,-4.41000234371037,-3.205430423756704,9.090143247239691,8.956764561061743,9.204484141009996
LDDU,3.939069832272856,3.776433762220757,4.139215715546165,0.6327405054964244,0.5618400185394725,0.7036600636471594,-4.028093701102619,-4.786543891275014,-3.2726213102126067,9.234799929470984,9.09230443758208,9.345787188298903
BKPR,5.029751127583119,4.348803331447733,5.473470064684169,1.0218476279212023,0.352393351707378,1.1497594564940266,-7.290810314687272,-8.586155899397745,-0.0569667767419151,9.8397285892031,9.70768798766616,9.953684734893915
LYTV,4.544306631034356,4.115570315079768,4.89845998667682,1.089551987389124,0.9404055942890822,1.235657936270992,-9.052261537783297,-10.662954817420855,-7.503151729764863,9.62339405550995,9.438736039801933,9.823963647122929
LWSK,4.9710185873918675,4.598411657282714,5.315899048692907,0.5783851531149147,0.4917129977103971,0.6472441907118079,-5.484506497359967,-6.241975747292606,-4.469358030035458,10.980108478117762,10.82277233589593,11.165782179644433
