Airport,Region,Data_P90,Data_P95,Burr_P90,Burr_P95,NCT_P90,NCT_P95,Burr_abs_err_P90,NCT_abs_err_P90,Burr_ratio_P90,NCT_ratio_P90,Burr_abs_err_P95,NCT_abs_err_P95,Burr_ratio_P95,NCT_ratio_P95
EGLL,Europe,44.21666666666667,56.96666666666667,43.962873254937286,56.851305076075626,41.395841731230746,54.12024600230723,0.25379341172938297,2.8208249354359225,0.994260231924703,0.9362044869483018,0.11536159059104278,2.846420664359435,0.9979749281932526,0.9500335752306711
LFPG,Europe,31.58333333333333,42.68333333333333,31.14480115931391,42.39029078209977,26.668123406507974,36.81789436831787,0.4385321740194179,4.915209926825355,0.9861150762843456,0.8443733004699095,0.2930425512335617,5.865438965015457,0.9931344970425562,0.8625824529867523
EHAM,Europe,34.21666666666667,47.66666666666666,34.28091088745205,47.06400402333631,30.46295939647287,42.157018660785745,0.06424422078538328,3.7537072701938,1.0018775709922665,0.8902959394975022,0.6026626433303477,5.509648005880912,0.9873567277623004,0.8844129788976032
EDDF,Europe,32.05,44.15,33.45466090093985,47.64669011922154,23.238631275170633,33.541504866353016,1.4046609009398523,8.811368724829364,1.0438271731962512,0.7250742987572741,3.4966901192215403,10.608495133646983,1.0792002292009408,0.7597169845153571
LEMD,Europe,28.183333333333334,37.63333333333333,28.167568419998787,37.846733498970494,23.639762764586045,32.38070080192992,0.01576491333454655,4.543570568747288,0.9994406299230794,0.8387851956683399,0.2134001656371609,5.252632531403414,1.0056705092729095,0.8604260620530536
LEBL,Europe,28.78333333333333,39.6,28.73503218817223,39.43806235029378,23.67638497524669,32.91763691910984,0.04830114516110129,5.10694835808664,0.998321905784791,0.8225727264127397,0.16193764970622482,6.682363080890163,0.995910665411459,0.8312534575532787
EDDM,Europe,25.416666666666668,34.166666666666664,25.51895294570766,34.71795473476085,19.241821983932766,27.09978868924037,0.10228627904099241,6.174844682733902,1.0040243781917768,0.7570552911711252,0.5512880680941876,7.066877977426294,1.016135260529586,0.7931645470021572
EGKK,Europe,39.25,51.71666666666667,38.78119597578257,51.476114878026166,34.967465526424704,46.70947495669317,0.46880402421742673,4.282534473575296,0.9880559484275815,0.890890841437572,0.2405517886405022,5.0071917099734975,0.995348660226094,0.9031803085406349
LIRF,Europe,25.78333333333333,35.55,25.80631439740001,35.61000932663419,16.97364154624707,24.97467617926098,0.022981064066676993,8.809691787086262,1.0008913147020042,0.6583183534420325,0.06000932663419434,10.575323820739015,1.0016880260656595,0.7025225366880726
EIDW,Europe,28.116666666666667,38.13333333333333,28.450036933223405,38.9834209824348,20.435704074057405,29.054448553425765,0.33337026655673796,7.680962592609262,1.0118566781229428,0.7268181650524269,0.850087649101468,9.078884779907568,1.022292508280633,0.7619173571702561
LATI,Balkans,23.133333333333333,29.666666666666668,21.699526498735917,27.134872299846528,19.405656243508407,25.805273366899982,1.4338068345974158,3.727677089824926,0.9380198774669705,0.8388612209009398,2.53179436682014,3.8613932997666858,0.9146586168487594,0.8698406752887634
LQSA,Balkans,26.496666666666652,34.86999999999998,26.184558034830832,34.432813777599,21.94484069386183,29.516625206556583,0.3121086318358195,4.551825972804821,0.9882208341236953,0.8282113735260477,0.4371862224009817,5.3533747934434,0.9874623968339266,0.8464762032278921
LBSF,Balkans,23.9,32.21666666666667,23.662223028542403,31.90700484004796,17.02758192144958,24.131810152653927,0.23777697145759547,6.872418078550417,0.99005117274236,0.7124511264204846,0.3096618266187079,8.084856514012742,0.9903881481649651,0.7490473922189527
LBBG,Balkans,25.516666666666666,33.56166666666665,24.81305659696279,33.84689474514646,16.94086806981203,24.768793933392672,0.7036100697038741,8.575798596854636,0.9724254708150016,0.663913836831301,0.285228078479804,8.792872733273981,1.0084986267610807,0.738008460050435
LDZA,Balkans,23.05,30.473333333333297,22.97849192614896,30.82233185385763,17.878487081001772,24.662426743263044,0.0715080738510423,5.1715129189982285,0.9968976974468094,0.7756393527549575,0.3489985205243329,5.810906590070253,1.0114525876347955,0.809311750489928
LDSP,Balkans,24.34166666666667,32.05416666666667,23.928786519163456,31.864538713085608,19.869014311797184,27.00087503918159,0.41288014750321267,4.472652354869485,0.9830381315644007,0.8162552952467175,0.18962795358105922,5.053291627485077,0.9940841402756462,0.8423514895884027
LDDU,Balkans,23.441666666666663,31.316666666666663,23.296869168582603,31.231067001996163,18.476250666882123,25.49500075216971,0.14479749808405984,4.96541599978454,0.9938230715356959,0.7881799075811785,0.08559966467050018,5.821665914496954,0.9972666418945024,0.8141032704258556
BKPR,Balkans,25.166666666666668,32.274166666666645,24.84926638239753,32.38091061676584,20.705498071497956,27.841868042802073,0.31740028426913725,4.4611685951687114,0.9873880681747362,0.822735022708528,0.1067439500991938,4.432298623864572,1.0033074115034994,0.8626672945689925
LYTV,Balkans,25.58,35.00666666666666,25.05138357865693,33.81102969362735,19.97035833711788,27.625616465216957,0.5286164213430666,5.609641662882119,0.9793347763352984,0.7807020460171181,1.1956369730393135,7.381050201449703,0.9658454492561613,0.7891530127180622
LWSK,Balkans,24.73333333333333,32.44500000000001,24.394171409843093,31.748316820975763,19.04966145086872,26.089832790934906,0.3391619234902379,5.683671882464612,0.986287253767241,0.7702019454529132,0.6966831790242445,6.355167209065101,0.9785272560017184,0.8041249126501742
