Airport,Delay_Type,Param,Value
EGLL,positive,c,3.107977235277086
EGLL,positive,c,3.1142429506197375
EGLL,positive,c,3.062566682327735
EGLL,positive,c,3.156441723037913
EGLL,positive,c,2.991816247392149
EGLL,positive,c,3.1161221570219197
EGLL,positive,c,3.1249237596734964
EGLL,positive,c,3.0836599480816176
EGLL,positive,c,3.091025714571588
EGLL,positive,c,3.0838335203773335
EGLL,positive,c,3.064820542582931
EGLL,positive,c,3.084642946643254
EGLL,positive,c,3.0738094554767312
EGLL,positive,c,3.0806756234665946
EGLL,positive,c,3.1166871598127397
EGLL,positive,c,3.068330040254522
EGLL,positive,c,3.124820706161027
EGLL,positive,c,3.103070906782963
EGLL,positive,c,3.106690019452154
EGLL,positive,c,3.054119684990258
EGLL,positive,c,3.0441582363090745
EGLL,positive,c,3.0841530358466023
EGLL,positive,c,3.099933660373531
EGLL,positive,c,3.0820143369806443
EGLL,positive,c,3.0764960724482657
EGLL,positive,c,3.095730478950144
EGLL,positive,c,3.1029545495959177
EGLL,positive,c,3.0490227742865628
EGLL,positive,c,3.1052989195007843
EGLL,positive,c,3.0023236233946244
EGLL,positive,c,3.118224922603007
EGLL,positive,c,3.0719937595746964
EGLL,positive,c,3.0794524650833006
EGLL,positive,c,3.081192986560903
EGLL,positive,c,3.0826678959411247
EGLL,positive,c,3.0988566827518884
EGLL,positive,c,3.0772739340470854
EGLL,positive,c,3.04395815870653
EGLL,positive,c,3.022903250246179
EGLL,positive,c,3.01782670111417
EGLL,positive,c,3.0835776361707072
EGLL,positive,c,3.064410264338431
EGLL,positive,c,3.0955967535376465
EGLL,positive,c,3.1077499031783185
EGLL,positive,c,3.039373450590741
EGLL,positive,c,3.1138742918977216
EGLL,positive,c,3.0643429839099916
EGLL,positive,c,3.1070666830814964
EGLL,positive,c,3.080902118292559
EGLL,positive,c,3.0984175566811887
EGLL,positive,c,3.102159217724302
EGLL,positive,c,3.1254163656508034
EGLL,positive,c,3.0638532454248173
EGLL,positive,c,3.093282666188066
EGLL,positive,c,3.047753236001949
EGLL,positive,c,3.0859134374294843
EGLL,positive,c,3.03783911225705
EGLL,positive,c,3.1060960785856517
EGLL,positive,c,3.074752530070891
EGLL,positive,c,3.0680346264924303
EGLL,positive,c,3.053234434934532
EGLL,positive,c,3.1320260724384497
EGLL,positive,c,3.0850790782175395
EGLL,positive,c,3.081125664722479
EGLL,positive,c,3.059562620526675
EGLL,positive,c,3.1257740904528477
EGLL,positive,c,3.118298074816682
EGLL,positive,c,3.101073903891203
EGLL,positive,c,3.1225621717035175
EGLL,positive,c,3.112711738817783
EGLL,positive,c,3.0777150640140287
EGLL,positive,c,3.0819011972779258
EGLL,positive,c,3.0692639240554724
EGLL,positive,c,3.082204981025746
EGLL,positive,c,3.074891360647981
EGLL,positive,c,3.064844323070518
EGLL,positive,c,3.0537483624760604
EGLL,positive,c,3.1684552410637217
EGLL,positive,c,3.0778265545152497
EGLL,positive,c,3.1093917920060363
EGLL,positive,c,3.0154704675003003
EGLL,positive,c,3.086614571098308
EGLL,positive,c,3.0807448179056394
EGLL,positive,c,3.037280880164687
EGLL,positive,c,3.1095471848866403
EGLL,positive,c,3.138180765238283
EGLL,positive,c,3.0612729504390606
EGLL,positive,c,3.025034372832696
EGLL,positive,c,3.088543735257362
EGLL,positive,c,3.0796559027828874
EGLL,positive,c,3.0465630922954907
EGLL,positive,c,3.045917558374895
EGLL,positive,c,3.0870061410555754
EGLL,positive,c,3.1176795300249966
EGLL,positive,c,3.119139189984843
EGLL,positive,c,3.103809271546606
EGLL,positive,c,3.0937536930055014
EGLL,positive,c,3.1223074038829086
EGLL,positive,c,3.1282437498622038
EGLL,positive,c,3.111842647483585
EGLL,positive,c,3.0819994471559955
EGLL,positive,c,3.1633236457583673
EGLL,positive,c,2.9806625218513982
EGLL,positive,c,3.046386501390785
EGLL,positive,c,3.1141171216324217
EGLL,positive,c,3.1075456078596617
EGLL,positive,c,3.0917147857928677
EGLL,positive,c,3.082462842113242
EGLL,positive,c,3.1058406028928838
EGLL,positive,c,3.0972931582990375
EGLL,positive,c,3.0541583179680134
EGLL,positive,c,3.0570489693865985
EGLL,positive,c,3.0607316088633354
EGLL,positive,c,3.0955711771047643
EGLL,positive,c,3.0688752615027513
EGLL,positive,c,3.0767979812861395
EGLL,positive,c,3.0944334937136073
EGLL,positive,c,3.0944271898587647
EGLL,positive,c,3.0624951860351506
EGLL,positive,c,3.099385215178133
EGLL,positive,c,3.034618615803133
EGLL,positive,c,3.1186254088614014
EGLL,positive,c,3.13201820803903
EGLL,positive,c,3.0890493634169993
EGLL,positive,c,3.098759503148778
EGLL,positive,c,3.0780782941173412
EGLL,positive,c,3.1042939236301454
EGLL,positive,c,3.1072890112131963
EGLL,positive,c,3.0818583210521995
EGLL,positive,c,3.0756784652804585
EGLL,positive,c,3.0671942728757777
EGLL,positive,c,3.0259497135278925
EGLL,positive,c,3.0904692586969387
EGLL,positive,c,3.0379698560082318
EGLL,positive,c,3.0739737084218737
EGLL,positive,c,3.027793494038938
EGLL,positive,c,3.096976339361025
EGLL,positive,c,3.0563117889567786
EGLL,positive,c,3.099522554179643
EGLL,positive,c,3.0901710983961657
EGLL,positive,c,3.100364713818434
EGLL,positive,c,3.0786242458918416
EGLL,positive,c,3.1095357101955035
EGLL,positive,c,3.068372252197981
EGLL,positive,c,3.0768884257606732
EGLL,positive,c,3.087752832638307
EGLL,positive,c,3.0488171771733583
EGLL,positive,c,3.0910324406503515
EGLL,positive,c,3.103852430164034
EGLL,positive,c,3.136423648641914
EGLL,positive,c,3.046002721263703
EGLL,positive,c,3.0590869848247895
EGLL,positive,c,3.0811417162789696
EGLL,positive,c,3.1271354165090193
EGLL,positive,c,3.111449369630279
EGLL,positive,c,3.081582911340881
EGLL,positive,c,3.147305697154797
EGLL,positive,c,3.106779104734697
EGLL,positive,c,3.0550196347032177
EGLL,positive,c,3.066734924019034
