Airport,Delay_Type,Shape_c,Shape_d,Location,Scale,KS_Statistic,P_value
EGLL,negative,2.7945352525769427,0.3180394498471799,0.0166666666666666,11.01322324594782,0.0209046351067706,6.272981357297718e-29
LFPG,negative,3.145321865588503,0.260942512311322,0.0166666666666666,11.841099573594416,0.0208074761633345,2.245949384099423e-65
EHAM,negative,3.041447405238947,0.2943612722768204,0.0166666666666666,10.239017680707647,0.0234671072308941,1.0043204959756996e-67
EDDF,negative,3.91719980059974,0.2407510456739839,0.0166666666666666,15.779838072024203,0.0134201437207485,3.0756641258832877e-41
LEMD,negative,3.550711176482803,0.2473228310393458,0.0166666666666666,12.670745456632387,0.0254921077399573,1.5969505519414418e-89
LEBL,negative,3.316385494478642,0.2616882502638178,0.0166666666666666,11.753636310876008,0.0132766227699414,1.511282852017352e-20
EDDM,negative,4.06866204195399,0.2365867579360424,0.0166666666666666,13.102200554003437,0.0172086318220063,1.7335580555539838e-51
EGKK,negative,3.406759517262027,0.2606855185802857,0.0166666666666666,13.350102409454022,0.023337200279406,1.0503108130968293e-36
LIRF,negative,4.799174721441281,0.1958969670723912,0.0166666666666666,17.66911527930831,0.0166894158607533,6.843967620329532e-47
EIDW,negative,4.097731649138716,0.2245980563135809,0.0166666666666666,17.8686894569638,0.0185861645705033,7.921447649701774e-40
LATI,negative,2.7141546369996314,0.3532207937791025,0.0166666666666666,11.696080993041264,0.0125523800396493,0.0301546812008026
LQSA,negative,2.788617594559484,0.3237905601299718,0.0166666666666666,11.729587889400989,0.0286039855495543,0.0004601053175221
LBSF,negative,3.3554797056501418,0.2711369055003204,0.0166666666666666,15.993093701623836,0.0104255491741943,0.0011947991803562
LBBG,negative,3.489169606949689,0.2791978520443067,0.0166666666666648,15.840353438895878,0.0119344315558377,0.0616723033856438
LDZA,negative,3.8358949769265855,0.2336424249176281,0.0166666666666666,13.739056831049696,0.0305253009530556,5.231634993057704e-18
LDSP,negative,3.33291623763517,0.2497792765554624,0.0166666666666666,12.434515241005748,0.0184453529159645,0.0013587703626813
LDDU,negative,3.5086898332130616,0.2403150120407126,0.0166666666666666,13.568228586956812,0.0194363225694691,0.0017885209035951
BKPR,negative,3.463814236249432,0.2638559477723615,0.0166666666666666,12.497146229065097,0.0108478727783733,0.2969772649551773
LYTV,negative,4.21928766953368,0.2104495454780779,0.0166666666666666,14.34921827535096,0.0243516343345961,0.002080232274362
LWSK,negative,3.814574215596111,0.2322591340350707,0.0166666666666666,16.96108309645213,0.0235401480943294,4.929791987071423e-05
