Airport,Airport Name,Region,Best Positive Delay Distribution,Best Negative Delay Distribution
EGLL,London Heathrow,Europe,Pearson Type III,Lognormal
LFPG,Paris Charles de Gaulle,Europe,Pearson Type III,Pearson Type III
EHAM,Amsterdam Schiphol,Europe,Lognormal,Lognormal
EDDF,Frankfurt,Europe,Weibull,Pearson Type III
LEMD,Madrid Barajas,Europe,Pearson Type III,Pearson Type III
LEBL,Barcelona,Europe,Pearson Type III,Pearson Type III
EDDM,Munich,Europe,Pearson Type III,Pearson Type III
EGKK,London Gatwick,Europe,Pearson Type III,Pearson Type III
LIRF,Rome Fiumicino,Europe,Weibull,Pearson Type III
EIDW,Dublin,Europe,Pearson Type III,Pearson Type III
LATI,Tirana,Balkans,Pearson Type III,Pearson Type III
LQSA,Sarajevo,Balkans,Pearson Type III,Pearson Type III
LBSF,Sofia,Balkans,Pearson Type III,Pearson Type III
LBBG,Burgas,Balkans,Pearson Type III,Pearson Type III
LDZA,Zagreb,Balkans,Pearson Type III,Pearson Type III
LDSP,Split,Balkans,Pearson Type III,Weibull
LDDU,Dubrovnik,Balkans,Pearson Type III,Pearson Type III
BKPR,Pristina,Balkans,Pearson Type III,Pearson Type III
LYTV,Tivat,Balkans,Pearson Type III,Pearson Type III
LWSK,Skopje,Balkans,Pearson Type III,Weibull
