source,target,best_lag,p_value
LEMD,LIRF,24,2.258561803986641e-23
LFPG,LEBL,4,2.076059856847258e-13
EDDF,LIRF,17,1.324851513261798e-12
LIRF,EDDM,17,5.999247881445074e-11
EDDM,LIRF,22,1.5661254655460126e-10
EDDM,BKPR,6,3.894400068132846e-10
EDDF,LEBL,4,2.7625219863862936e-09
LEBL,EGKK,1,1.004212625401344e-08
LEBL,EDDM,22,1.3259195493311278e-08
EDDM,LBSF,21,1.6293658601556126e-08
EDDM,LEBL,9,1.9355912225966106e-08
EDDM,EIDW,5,6.645902377890886e-08
EDDF,BKPR,7,7.418660493515247e-08
EDDM,LFPG,2,9.471953359952451e-08
EDDM,LATI,11,1.0549665246436373e-07
LQSA,LEBL,17,1.2655107413098338e-07
EIDW,LYTV,14,1.8306961034874459e-07
LBSF,LIRF,21,2.0340059131687318e-07
EDDF,EGKK,2,2.0796036488371468e-07
EDDM,EGKK,4,2.607098855562858e-07
