,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1
LFPG,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
EHAM,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
EDDF,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1
LEMD,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1
LEBL,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1
EDDM,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
EGKK,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1
LIRF,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1
EIDW,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1
LATI,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
LQSA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
LBSF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LBBG,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
LDZA,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1
LDSP,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0
LDDU,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
BKPR,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0
LYTV,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1
LWSK,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
