,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
LFPG,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
EHAM,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0
EDDF,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
LEMD,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
LEBL,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
EDDM,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
EGKK,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
LIRF,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
EIDW,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
LATI,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0
LQSA,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
LBSF,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
LBBG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
LDZA,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1
LDSP,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1
LDDU,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1
BKPR,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1
LYTV,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
LWSK,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
