source,target,best_lag,p_value
EGLL,LFPG,3,0.00018198456829606195
EGLL,EHAM,2,0.09658148765229137
EGLL,EDDF,2,5.929690046340716e-06
EGLL,LEMD,8,0.20248527543287992
EGLL,LEBL,3,1.1107630882808105e-07
EGLL,EDDM,2,4.6105093788607245e-06
EGLL,EGKK,7,7.266031873943859e-08
EGLL,LIRF,1,7.403069987759914e-11
EGLL,EIDW,3,0.00012500495996297316
EGLL,LATI,5,0.005361842290225677
EGLL,LQSA,1,0.07691384757504854
EGLL,LBSF,1,0.40541705574917586
EGLL,LBBG,1,0.3366208577323113
EGLL,LDZA,1,0.06321702627468233
EGLL,LDSP,1,0.6163341564231722
EGLL,LDDU,1,0.6946799459506345
EGLL,BKPR,1,0.14385874739376864
EGLL,LYTV,8,0.000561330247101386
EGLL,LWSK,7,0.3943885599217998
LFPG,EGLL,2,1.2181355615569257e-05
LFPG,EHAM,1,0.15094520298052774
LFPG,EDDF,5,4.533675343921817e-05
LFPG,LEMD,6,3.9354208779322453e-08
LFPG,LEBL,5,3.944709517321886e-19
LFPG,EDDM,5,0.00047190931124846224
LFPG,EGKK,1,8.846674732212442e-06
LFPG,LIRF,8,0.00710569987519622
LFPG,EIDW,6,0.0001909366084941921
LFPG,LATI,3,4.022820367786039e-09
LFPG,LQSA,8,1.2916880242977741e-08
LFPG,LBSF,7,0.0014399428009121524
LFPG,LBBG,7,0.03397737627049557
LFPG,LDZA,4,1.3535479808100072e-11
LFPG,LDSP,1,0.5500933358278808
LFPG,LDDU,1,0.5145701493723038
LFPG,BKPR,3,0.00010743071030824527
LFPG,LYTV,8,1.8839959574366658e-08
LFPG,LWSK,7,0.039468365409135064
EHAM,EGLL,1,4.494186337360867e-05
EHAM,LFPG,1,3.754967857957867e-09
EHAM,EDDF,3,7.538210111924894e-16
EHAM,LEMD,3,4.7195951336352716e-09
EHAM,LEBL,4,6.71346735993131e-10
EHAM,EDDM,3,1.3860242719131405e-11
EHAM,EGKK,1,1.588164366468148e-06
EHAM,LIRF,8,0.007562574826173646
EHAM,EIDW,1,0.0012701554122765604
EHAM,LATI,7,0.00013336689417595355
EHAM,LQSA,8,0.20302646171398
EHAM,LBSF,8,1.513756245570361e-05
EHAM,LBBG,1,0.011076918963057354
EHAM,LDZA,1,1.0797377623416082e-08
EHAM,LDSP,5,0.5132738873395455
EHAM,LDDU,1,0.34569876954221
EHAM,BKPR,1,0.0006255891495919578
EHAM,LYTV,1,0.1649394264418651
EHAM,LWSK,2,0.05465253773134149
EDDF,EGLL,5,5.247763330901193e-09
EDDF,LFPG,1,6.039889875661546e-15
EDDF,EHAM,7,0.0011329028499083968
EDDF,LEMD,6,1.4308873328906534e-06
EDDF,LEBL,4,1.4338851814227339e-16
EDDF,EDDM,1,0.2603079545178648
EDDF,EGKK,1,7.54398984253353e-09
EDDF,LIRF,4,0.00037524829025289486
EDDF,EIDW,5,2.4254598516291926e-05
EDDF,LATI,3,3.9020677088492525e-08
EDDF,LQSA,8,5.861468923120662e-13
EDDF,LBSF,7,0.014407095972910719
EDDF,LBBG,3,0.025304161543462152
EDDF,LDZA,5,5.2638840363325294e-08
EDDF,LDSP,1,0.30436550769844234
EDDF,LDDU,8,0.23748847233159495
EDDF,BKPR,4,0.05795138641155462
EDDF,LYTV,8,4.024685592293023e-21
EDDF,LWSK,7,0.0753028819619448
LEMD,EGLL,1,3.1933136737933954e-06
LEMD,LFPG,3,0.05074740937687012
LEMD,EHAM,3,0.14679245013748268
LEMD,EDDF,4,0.051032867899282665
LEMD,LEBL,3,2.152249712282974e-06
LEMD,EDDM,6,0.012548642558005533
LEMD,EGKK,1,0.12504048680995564
LEMD,LIRF,6,0.002814061115139966
LEMD,EIDW,1,4.631162199721723e-05
