source,target,best_lag,p_value
EGLL,LFPG,2,0.1018043214074599
EGLL,EHAM,8,0.2592670278183767
EGLL,EDDF,17,0.7348951778239409
EGLL,LEMD,6,0.3933322013431362
EGLL,LEBL,11,0.0014885739618496557
EGLL,EDDM,22,0.41381848443739927
EGLL,EGKK,22,0.10758806575622679
EGLL,LIRF,7,0.003597030686453527
EGLL,EIDW,15,0.029596873114958844
EGLL,LATI,24,0.0166081812786327
EGLL,LQSA,1,0.34817405259164547
EGLL,LBSF,7,0.005075665881304318
EGLL,LBBG,7,0.005649124376761304
EGLL,LDZA,1,0.014325193902360995
EGLL,LDSP,9,0.1780428038062134
EGLL,LDDU,18,0.004685562549733439
EGLL,BKPR,2,0.012203766383481038
EGLL,LYTV,12,0.0022214912497016924
EGLL,LWSK,2,0.8486959653542587
LFPG,EGLL,1,0.43334983657398474
LFPG,EHAM,3,0.14704953218305575
LFPG,EDDF,2,0.007652131931470779
LFPG,LEMD,4,0.19138469414148854
LFPG,LEBL,21,0.2669786283928265
LFPG,EDDM,1,0.1244590504408093
LFPG,EGKK,24,0.8457117018706152
LFPG,LIRF,1,0.12146144129176376
LFPG,EIDW,6,0.0014125335671335952
LFPG,LATI,22,0.25755144133799074
LFPG,LQSA,1,0.6411400186060476
LFPG,LBSF,2,0.014019593073737614
LFPG,LBBG,2,0.6056214517774847
LFPG,LDZA,16,0.00460248807980334
LFPG,LDSP,23,0.0058273346315612816
LFPG,LDDU,14,0.37148445096801097
LFPG,BKPR,6,0.010184204537054887
LFPG,LYTV,16,0.19587113307497064
LFPG,LWSK,24,0.0070182145741042
EHAM,EGLL,1,0.0972910734659631
EHAM,LFPG,8,0.03604007885415828
EHAM,EDDF,5,0.34697123611016395
EHAM,LEMD,11,0.002057562181895573
EHAM,LEBL,1,0.409930062676257
EHAM,EDDM,18,0.0118292845383188
EHAM,EGKK,16,0.001147333355859929
EHAM,LIRF,5,0.18892013799327406
EHAM,EIDW,14,0.025699910782151635
EHAM,LATI,7,0.3999722920826583
EHAM,LQSA,23,0.35478840516404664
EHAM,LBSF,2,0.14010453509885087
EHAM,LBBG,24,0.0001588984909078496
EHAM,LDZA,2,0.005006932417160609
EHAM,LDSP,1,0.16728467974753913
EHAM,LDDU,15,0.29160638380618514
EHAM,BKPR,1,0.39124457904942134
EHAM,LYTV,18,0.08973846442291653
EHAM,LWSK,9,0.11876783403374573
EDDF,EGLL,1,0.47310727169224753
EDDF,LFPG,4,0.00016906206710993037
EDDF,EHAM,1,0.6386467676825911
EDDF,LEMD,1,0.09596915069617963
EDDF,LEBL,1,0.6879398460494862
EDDF,EDDM,23,0.024586532799333906
EDDF,EGKK,1,0.12021237609779262
EDDF,LIRF,24,0.1310658358110502
EDDF,EIDW,2,0.16803408388735683
EDDF,LATI,16,6.091856873400877e-06
EDDF,LQSA,18,0.0036697881959557197
EDDF,LBSF,7,0.004990579889989094
EDDF,LBBG,2,0.5693079665294651
EDDF,LDZA,14,0.0651390769387278
EDDF,LDSP,10,0.024784990855771648
EDDF,LDDU,19,0.1903194213545867
EDDF,BKPR,1,0.3258729190584173
EDDF,LYTV,19,0.08161457863700144
EDDF,LWSK,21,0.00047085068618494337
LEMD,EGLL,7,0.007292243348187907
LEMD,LFPG,2,0.00546180879114559
LEMD,EHAM,8,0.01400394160562095
LEMD,EDDF,21,0.004531533305937326
LEMD,LEBL,4,0.037223993397455704
LEMD,EDDM,4,2.8467608364382746e-05
LEMD,EGKK,22,0.25425812392769725
LEMD,LIRF,2,0.07378185904690725
LEMD,EIDW,15,0.0008393116683953445
LEMD,LATI,24,0.16410033878316257
LEMD,LQSA,24,0.08564418631678762
LEMD,LBSF,13,0.0005783773553961662
LEMD,LBBG,15,0.19442453649187483
LEMD,LDZA,13,0.10803906833188782
LEMD,LDSP,9,0.006506791569927032
LEMD,LDDU,1,0.48459449068868876
LEMD,BKPR,17,0.036699731189664866
LEMD,LYTV,18,0.652977009744305
LEMD,LWSK,1,0.034243683215209444
LEBL,EGLL,1,0.15656576701546468
LEBL,LFPG,24,0.23707756930940477
LEBL,EHAM,16,0.2673050768231379
LEBL,EDDF,1,0.3315706368946806
LEBL,LEMD,1,0.0021207124480966473
LEBL,EDDM,12,0.10775602790095187
LEBL,EGKK,10,0.00035013193326776114
LEBL,LIRF,23,0.04451892555621973
LEBL,EIDW,2,0.13442597873404086
LEBL,LATI,16,0.008011496224601523
LEBL,LQSA,11,0.192781212685935
LEBL,LBSF,5,0.016342609600909767
LEBL,LBBG,6,0.04762467177490402
LEBL,LDZA,8,2.8499972967494027e-05
LEBL,LDSP,12,0.003094956560144974
LEBL,LDDU,17,0.25932364310869654
LEBL,BKPR,6,0.010921698193326092
LEBL,LYTV,10,0.17372511075825126
LEBL,LWSK,1,0.07721568246860656
EDDM,EGLL,5,0.0034536278617736146
EDDM,LFPG,18,0.0004580722385596074
EDDM,EHAM,14,0.0010635452608900948
EDDM,EDDF,12,0.09608965937645789
EDDM,LEMD,22,0.0008680186401215575
EDDM,LEBL,21,0.16872098115551068
EDDM,EGKK,7,0.01217113887648588
EDDM,LIRF,15,0.0009266863133400324
EDDM,EIDW,23,0.0010070750207987924
EDDM,LATI,1,0.02259943902164752
EDDM,LQSA,14,0.015533902393403621
EDDM,LBSF,6,0.001015916166431292
EDDM,LBBG,17,0.0029991974427158214
EDDM,LDZA,19,5.094003997123469e-06
EDDM,LDSP,8,0.0018370195749992035
EDDM,LDDU,16,0.3590929309611909
EDDM,BKPR,10,0.06755783824951214
EDDM,LYTV,14,0.0041347851455225395
EDDM,LWSK,9,0.4537546021647143
EGKK,EGLL,11,5.067815520391375e-09
EGKK,LFPG,14,0.004784354942836411
EGKK,EHAM,19,0.1037202920726023
EGKK,EDDF,1,0.15729760558846062
EGKK,LEMD,4,0.008745287052213589
EGKK,LEBL,1,0.2527361481795204
EGKK,EDDM,2,0.3234594243683479
EGKK,LIRF,21,0.02488045307284655
EGKK,EIDW,20,0.07870883413184819
EGKK,LATI,12,0.377303603002165
EGKK,LQSA,24,0.034892132196714415
EGKK,LBSF,17,0.03841502410889685
EGKK,LBBG,1,0.6132116717988759
EGKK,LDZA,13,0.0640706178722678
EGKK,LDSP,11,0.0704574963106841
EGKK,LDDU,5,0.1397994948696161
EGKK,BKPR,8,0.29280158998507716
EGKK,LYTV,22,0.06469303478322914
EGKK,LWSK,3,0.4632173370118543
LIRF,EGLL,23,0.0023810410670386793
LIRF,LFPG,23,0.013704901425418914
LIRF,EHAM,21,0.004709034280796192
LIRF,EDDF,8,0.004411527020111833
LIRF,LEMD,6,0.15171617244885355
LIRF,LEBL,1,0.0023409244244534545
LIRF,EDDM,22,0.03202935523958346
LIRF,EGKK,13,0.06670121614410193
LIRF,EIDW,12,0.0016613143914302939
LIRF,LATI,6,0.007277258529104313
LIRF,LQSA,16,0.03289124012958272
LIRF,LBSF,11,0.019795320417236372
LIRF,LBBG,13,0.16012191508080598
LIRF,LDZA,21,0.009984402528448252
LIRF,LDSP,20,0.0002118605736288394
LIRF,LDDU,5,0.015441526214113531
LIRF,BKPR,21,0.11764621939235587
LIRF,LYTV,2,0.059591781054225676
LIRF,LWSK,12,0.002790256350116446
EIDW,EGLL,6,0.39154637578994445
EIDW,LFPG,4,0.35727078381918015
EIDW,EHAM,18,0.36821471105698417
EIDW,EDDF,7,4.948941350907727e-06
EIDW,LEMD,8,0.018989528540373994
EIDW,LEBL,1,0.12854527011418157
EIDW,EDDM,20,9.003734295491123e-06
EIDW,EGKK,9,0.0016157550653784567
EIDW,LIRF,15,0.0002869345492375748
EIDW,LATI,17,0.008998675263447074
EIDW,LQSA,11,0.005749429876364459
EIDW,LBSF,20,0.00078222328053164
EIDW,LBBG,12,0.2996254824372214
EIDW,LDZA,17,0.00042881128362369666
EIDW,LDSP,8,9.458571509565511e-05
EIDW,LDDU,24,0.010150091110356982
EIDW,BKPR,19,0.04960748087746889
EIDW,LYTV,2,0.10955674617082478
EIDW,LWSK,16,0.0975620390790854
LATI,EGLL,1,0.29154143410624656
LATI,LFPG,13,0.1721047077984312
LATI,EHAM,19,0.34201004300426346
LATI,EDDF,1,0.6405269371314384
LATI,LEMD,1,0.01207113659921119
LATI,LEBL,2,0.042976384883476125
LATI,EDDM,24,0.12089961999201579
LATI,EGKK,3,0.009135451006986586
LATI,LIRF,7,0.0013092076061931722
LATI,EIDW,22,0.2186896191973075
LATI,LQSA,14,0.015607103828827488
LATI,LBSF,1,0.38265387873010503
LATI,LBBG,2,0.0029064943139191553
LATI,LDZA,1,0.05757285346701451
LATI,LDSP,4,0.04747040138193455
LATI,LDDU,1,0.3539733510975517
LATI,BKPR,3,0.06119961430920821
LATI,LYTV,1,0.03983141901332681
LATI,LWSK,18,0.01766236689840213
LQSA,EGLL,18,0.0009976281129174885
LQSA,LFPG,1,0.27873278971245047
LQSA,EHAM,18,0.142753392216808
LQSA,EDDF,13,0.09625889820615559
LQSA,LEMD,12,0.00026287375554911275
LQSA,LEBL,20,3.20997006767354e-05
LQSA,EDDM,19,0.00148226537817459
LQSA,EGKK,21,0.15977448060588342
LQSA,LIRF,12,0.001341504997811053
LQSA,EIDW,23,0.018417740087392477
LQSA,LATI,8,0.27820143962613625
LQSA,LBSF,16,0.03034751137618679
LQSA,LBBG,7,0.1131208868174204
LQSA,LDZA,9,0.003392347202117211
LQSA,LDSP,5,0.00022385902192233008
LQSA,LDDU,4,0.00021311116366135578
LQSA,BKPR,24,0.004404339278706489
LQSA,LYTV,3,0.43031569208508447
LQSA,LWSK,8,0.020602776081991174
LBSF,EGLL,1,0.14646493931533247
LBSF,LFPG,23,0.005704023403033392
LBSF,EHAM,18,0.17797399071591646
LBSF,EDDF,24,0.036323102394714736
LBSF,LEMD,22,0.1285222829965407
LBSF,LEBL,19,0.007556995743028411
LBSF,EDDM,22,0.008873673835229957
LBSF,EGKK,18,0.006102213674411063
LBSF,LIRF,21,0.0005025790504506614
LBSF,EIDW,7,0.044691151283278066
LBSF,LATI,2,0.13115870650371525
LBSF,LQSA,16,5.6892173515927555e-05
LBSF,LBBG,1,0.615966906977942
LBSF,LDZA,24,0.001079998951101004
LBSF,LDSP,21,0.002157159462470257
LBSF,LDDU,6,0.13571639414474015
LBSF,BKPR,1,0.368048822667826
LBSF,LYTV,17,0.03139179976995374
LBSF,LWSK,17,0.11194910237863866
LBBG,EGLL,1,0.4877900738223946
LBBG,LFPG,2,0.8924554958573078
LBBG,EHAM,13,0.003830913766390906
LBBG,EDDF,4,0.3759853545817512
LBBG,LEMD,3,0.9253310153448266
LBBG,LEBL,13,0.0437725933652134
LBBG,EDDM,21,0.021976708159363124
LBBG,EGKK,1,0.005919166607657557
LBBG,LIRF,22,0.08697536441674293
LBBG,EIDW,1,0.3115631064450537
LBBG,LATI,1,0.6133401486947446
LBBG,LQSA,2,0.12112964075873286
LBBG,LBSF,24,0.2557782695521262
LBBG,LDZA,2,0.013126616468152589
LBBG,LDSP,4,0.13334236167023772
LBBG,LDDU,8,0.23785824714926793
LBBG,BKPR,2,0.20272506603660453
LBBG,LYTV,7,0.010123725922542107
LBBG,LWSK,1,0.7825871708963362
LDZA,EGLL,2,0.006365955170709223
LDZA,LFPG,23,0.14859691008823117
LDZA,EHAM,6,0.2773221476077733
LDZA,EDDF,13,0.2481036033418128
LDZA,LEMD,23,0.11959366114137347
LDZA,LEBL,21,0.00036494101198143497
LDZA,EDDM,7,0.005364453143401916
LDZA,EGKK,21,0.5175340072900326
LDZA,LIRF,6,5.4030335722557904e-05
LDZA,EIDW,18,0.02678924472152051
LDZA,LATI,4,0.1267881031069049
LDZA,LQSA,3,0.031393116811349916
LDZA,LBSF,20,0.002425402808425355
LDZA,LBBG,23,0.00045774320520712965
LDZA,LDSP,8,0.013822777758712356
LDZA,LDDU,24,0.05663055898024621
LDZA,BKPR,1,0.00018818682156405752
LDZA,LYTV,22,0.09670515855880837
LDZA,LWSK,2,0.021179036838841807
LDSP,EGLL,1,0.1302012356550796
LDSP,LFPG,7,0.0035328991273194787
LDSP,EHAM,2,0.18364855071075914
LDSP,EDDF,1,0.09985233521110733
LDSP,LEMD,1,0.7441799336541373
LDSP,LEBL,9,0.027176304757544886
LDSP,EDDM,22,0.0003078119499976763
LDSP,EGKK,17,0.044659411346106175
LDSP,LIRF,22,0.009382365120075073
LDSP,EIDW,17,0.0039587210701187096
LDSP,LATI,1,0.5952184673995817
LDSP,LQSA,15,0.34518242376618696
LDSP,LBSF,7,0.10529906208290336
LDSP,LBBG,7,2.565609111050745e-05
LDSP,LDZA,6,0.006217636249323562
LDSP,LDDU,11,0.0018143402565465715
LDSP,BKPR,1,0.3372089830737651
LDSP,LYTV,1,0.14927743060748438
LDSP,LWSK,18,0.01643842515201252
LDDU,EGLL,14,0.006657094130748146
LDDU,LFPG,3,0.21968352813939832
LDDU,EHAM,2,0.008393772176919037
LDDU,EDDF,8,0.6094018812230351
LDDU,LEMD,12,0.34014949568656727
LDDU,LEBL,24,0.0047296197984783225
LDDU,EDDM,22,9.341585893909858e-05
LDDU,EGKK,1,0.19660624647287814
LDDU,LIRF,6,0.06366600691407404
LDDU,EIDW,18,0.00030664160544230384
LDDU,LATI,3,0.0570909196576378
LDDU,LQSA,21,0.06666419854585322
LDDU,LBSF,5,0.04239962905132762
LDDU,LBBG,9,1.0000171989833098e-09
LDDU,LDZA,5,0.19914908235659873
LDDU,LDSP,24,0.040834846589881124
LDDU,BKPR,1,0.22629156513158288
LDDU,LYTV,19,0.22501475079401817
LDDU,LWSK,3,0.0056500387017740525
BKPR,EGLL,1,0.21381298956705613
BKPR,LFPG,17,0.052305367601125544
BKPR,EHAM,1,0.06649860556305844
BKPR,EDDF,7,0.30843961850242385
BKPR,LEMD,21,5.9677531121687895e-05
BKPR,LEBL,24,0.23084508616515362
BKPR,EDDM,24,0.08370218683988266
BKPR,EGKK,1,0.10465457491935129
BKPR,LIRF,15,0.02583782501930806
BKPR,EIDW,1,0.14838388002185512
BKPR,LATI,14,0.00898620222675873
BKPR,LQSA,3,0.08691402969240504
BKPR,LBSF,1,0.05348329706118934
BKPR,LBBG,1,0.5133173083292962
BKPR,LDZA,1,0.34738764089485763
BKPR,LDSP,15,0.07458871131420418
BKPR,LDDU,22,0.18077567976738193
BKPR,LYTV,7,0.5661234949701965
BKPR,LWSK,1,0.07290496003868709
LYTV,EGLL,12,2.8981669777043735e-08
LYTV,LFPG,19,1.513032710373591e-07
LYTV,EHAM,9,0.040294257711956834
LYTV,EDDF,14,0.05762033309756744
LYTV,LEMD,1,0.04575736939033095
LYTV,LEBL,1,0.4008194625267386
LYTV,EDDM,20,0.32746374949338003
LYTV,EGKK,7,0.00044065286116622956
LYTV,LIRF,23,0.0608808564973265
LYTV,EIDW,2,0.3527921882049256
LYTV,LATI,1,0.4449343314974843
LYTV,LQSA,6,0.032900270505572884
LYTV,LBSF,3,0.19401348691122178
LYTV,LBBG,3,2.4629538152817556e-06
LYTV,LDZA,9,0.0016689004919279412
LYTV,LDSP,1,0.0794949211227095
LYTV,LDDU,1,0.5724621511284664
LYTV,BKPR,6,0.05604932633574056
LYTV,LWSK,1,0.06942407018444151
LWSK,EGLL,14,0.21634816165872284
LWSK,LFPG,14,0.3276684302723879
LWSK,EHAM,17,0.7762194107933986
LWSK,EDDF,16,0.00028797842297248683
LWSK,LEMD,4,0.04516365759615926
LWSK,LEBL,23,0.03473008535734631
LWSK,EDDM,6,0.0018095788500314396
LWSK,EGKK,2,0.08636369569287135
LWSK,LIRF,8,0.19482159339448263
LWSK,EIDW,2,0.17079735818341446
LWSK,LATI,12,0.010621719121450593
LWSK,LQSA,4,0.02614750212244271
LWSK,LBSF,1,0.25430166546443544
LWSK,LBBG,1,0.08892218073197374
LWSK,LDZA,9,0.034391157910279475
LWSK,LDSP,1,0.17131870383975387
LWSK,LDDU,2,0.6011776645856077
LWSK,BKPR,10,0.00030273881357114154
LWSK,LYTV,1,0.44727675559564795
