time,airport,in_degree
2015-03-01,BKPR,5
2015-03-01,EDDF,3
2015-03-01,EDDM,8
2015-03-01,EGKK,6
2015-03-01,EGLL,7
2015-03-01,EHAM,2
2015-03-01,EIDW,8
2015-03-01,LATI,3
2015-03-01,LBBG,2
2015-03-01,LBSF,7
2015-03-01,LDDU,3
2015-03-01,LDSP,4
2015-03-01,LDZA,5
2015-03-01,LEBL,9
2015-03-01,LEMD,10
2015-03-01,LFPG,7
2015-03-01,LIRF,3
2015-03-01,LQSA,5
2015-03-01,LWSK,3
2015-03-01,LYTV,3
2015-06-01,BKPR,10
2015-06-01,EDDF,13
2015-06-01,EDDM,9
2015-06-01,EGKK,14
2015-06-01,EGLL,10
2015-06-01,EHAM,7
2015-06-01,EIDW,13
2015-06-01,LATI,14
2015-06-01,LBBG,8
2015-06-01,LBSF,18
2015-06-01,LDDU,9
2015-06-01,LDSP,8
2015-06-01,LDZA,12
2015-06-01,LEBL,12
2015-06-01,LEMD,4
2015-06-01,LFPG,12
2015-06-01,LIRF,12
2015-06-01,LQSA,8
2015-06-01,LWSK,12
2015-06-01,LYTV,8
2015-09-01,BKPR,3
2015-09-01,EDDF,3
2015-09-01,EDDM,6
2015-09-01,EGKK,9
2015-09-01,EGLL,12
2015-09-01,EHAM,6
2015-09-01,EIDW,9
2015-09-01,LATI,4
2015-09-01,LBBG,0
2015-09-01,LBSF,8
2015-09-01,LDDU,3
2015-09-01,LDSP,3
2015-09-01,LDZA,7
2015-09-01,LEBL,11
2015-09-01,LEMD,9
2015-09-01,LFPG,10
2015-09-01,LIRF,5
2015-09-01,LQSA,1
2015-09-01,LWSK,6
2015-09-01,LYTV,4
2015-12-01,BKPR,3
2015-12-01,EDDF,5
2015-12-01,EDDM,1
2015-12-01,EGKK,10
2015-12-01,EGLL,10
2015-12-01,EHAM,6
2015-12-01,EIDW,7
2015-12-01,LATI,4
2015-12-01,LBBG,1
2015-12-01,LBSF,5
2015-12-01,LDDU,1
2015-12-01,LDSP,3
2015-12-01,LDZA,2
2015-12-01,LEBL,8
2015-12-01,LEMD,8
2015-12-01,LFPG,7
2015-12-01,LIRF,4
2015-12-01,LQSA,5
2015-12-01,LWSK,6
2015-12-01,LYTV,0
2016-03-01,BKPR,1
2016-03-01,EDDF,6
2016-03-01,EDDM,10
2016-03-01,EGKK,9
2016-03-01,EGLL,12
2016-03-01,EHAM,10
2016-03-01,EIDW,8
2016-03-01,LATI,4
2016-03-01,LBBG,0
2016-03-01,LBSF,7
2016-03-01,LDDU,0
2016-03-01,LDSP,0
2016-03-01,LDZA,6
2016-03-01,LEBL,6
2016-03-01,LEMD,7
2016-03-01,LFPG,9
2016-03-01,LIRF,8
2016-03-01,LQSA,9
2016-03-01,LWSK,5
2016-03-01,LYTV,6
2016-06-01,BKPR,14
2016-06-01,EDDF,2
2016-06-01,EDDM,8
2016-06-01,EGKK,10
2016-06-01,EGLL,12
2016-06-01,EHAM,9
2016-06-01,EIDW,10
2016-06-01,LATI,11
2016-06-01,LBBG,8
2016-06-01,LBSF,13
2016-06-01,LDDU,5
2016-06-01,LDSP,10
2016-06-01,LDZA,7
2016-06-01,LEBL,13
2016-06-01,LEMD,11
2016-06-01,LFPG,9
2016-06-01,LIRF,11
2016-06-01,LQSA,9
2016-06-01,LWSK,11
2016-06-01,LYTV,2
2016-09-01,BKPR,2
2016-09-01,EDDF,7
2016-09-01,EDDM,10
2016-09-01,EGKK,15
2016-09-01,EGLL,8
2016-09-01,EHAM,9
2016-09-01,EIDW,8
2016-09-01,LATI,15
2016-09-01,LBBG,4
2016-09-01,LBSF,1
2016-09-01,LDDU,3
2016-09-01,LDSP,5
2016-09-01,LDZA,11
2016-09-01,LEBL,8
2016-09-01,LEMD,8
2016-09-01,LFPG,9
2016-09-01,LIRF,9
2016-09-01,LQSA,10
2016-09-01,LWSK,3
2016-09-01,LYTV,3
2016-12-01,BKPR,5
2016-12-01,EDDF,7
2016-12-01,EDDM,2
2016-12-01,EGKK,8
2016-12-01,EGLL,9
2016-12-01,EHAM,3
2016-12-01,EIDW,5
2016-12-01,LATI,7
2016-12-01,LBBG,3
2016-12-01,LBSF,8
2016-12-01,LDDU,2
2016-12-01,LDSP,4
2016-12-01,LDZA,14
2016-12-01,LEBL,8
2016-12-01,LEMD,6
2016-12-01,LFPG,7
2016-12-01,LIRF,5
2016-12-01,LQSA,13
2016-12-01,LWSK,5
2016-12-01,LYTV,3
2017-03-01,BKPR,4
2017-03-01,EDDF,8
2017-03-01,EDDM,2
2017-03-01,EGKK,7
2017-03-01,EGLL,7
2017-03-01,EHAM,1
2017-03-01,EIDW,1
2017-03-01,LATI,5
2017-03-01,LBBG,1
2017-03-01,LBSF,2
2017-03-01,LDDU,1
2017-03-01,LDSP,0
2017-03-01,LDZA,1
