year,month,time,EU_to_Balkans,Balkans_to_EU
2015,3,2015-03-01,19,9
2015,6,2015-06-01,64,36
2015,9,2015-09-01,31,21
2015,12,2015-12-01,19,6
2016,3,2016-03-01,23,24
2016,6,2016-06-01,57,28
2016,9,2016-09-01,38,23
2016,12,2016-12-01,40,7
2017,3,2017-03-01,11,11
2017,6,2017-06-01,76,39
2017,9,2017-09-01,45,24
2017,12,2017-12-01,60,6
2018,3,2018-03-01,27,5
2018,6,2018-06-01,62,21
2018,9,2018-09-01,46,20
2018,12,2018-12-01,45,7
2019,3,2019-03-01,46,14
2019,6,2019-06-01,72,37
2019,9,2019-09-01,64,26
2019,12,2019-12-01,36,8
2020,3,2020-03-01,22,7
2020,6,2020-06-01,22,13
2020,9,2020-09-01,32,27
2020,12,2020-12-01,21,10
2021,3,2021-03-01,21,11
2021,6,2021-06-01,27,20
2021,9,2021-09-01,46,21
2021,12,2021-12-01,24,5
2022,3,2022-03-01,29,5
2022,6,2022-06-01,64,41
2022,9,2022-09-01,57,30
2022,12,2022-12-01,33,11
2023,3,2023-03-01,35,14
2023,6,2023-06-01,64,47
