year,month,edges,density,mean_degree,time
2015,3,216,0.5684210526315789,21.6,2015-03-01
2015,6,247,0.65,24.7,2015-06-01
2015,9,231,0.6078947368421053,23.1,2015-09-01
2015,12,183,0.48157894736842105,18.3,2015-12-01
2016,3,212,0.5578947368421052,21.2,2016-03-01
2016,6,223,0.5868421052631579,22.3,2016-06-01
2016,9,190,0.5,19.0,2016-09-01
2016,12,235,0.618421052631579,23.5,2016-12-01
2017,3,149,0.39210526315789473,14.9,2017-03-01
2017,6,267,0.7026315789473684,26.7,2017-06-01
2017,9,212,0.5578947368421052,21.2,2017-09-01
2017,12,223,0.5868421052631579,22.3,2017-12-01
2018,3,184,0.4842105263157895,18.4,2018-03-01
2018,6,191,0.5026315789473684,19.1,2018-06-01
2018,9,237,0.6236842105263158,23.7,2018-09-01
2018,12,225,0.5921052631578947,22.5,2018-12-01
2019,3,212,0.5578947368421052,21.2,2019-03-01
2019,6,257,0.6763157894736842,25.7,2019-06-01
2019,9,220,0.5789473684210527,22.0,2019-09-01
2019,12,234,0.6157894736842106,23.4,2019-12-01
2020,3,229,0.6026315789473684,22.9,2020-03-01
2020,6,156,0.4105263157894737,15.6,2020-06-01
2020,9,180,0.47368421052631576,18.0,2020-09-01
2020,12,150,0.39473684210526316,15.0,2020-12-01
2021,3,184,0.4842105263157895,18.4,2021-03-01
2021,6,189,0.49736842105263157,18.9,2021-06-01
2021,9,229,0.6026315789473684,22.9,2021-09-01
2021,12,178,0.46842105263157896,17.8,2021-12-01
2022,3,177,0.46578947368421053,17.7,2022-03-01
2022,6,237,0.6236842105263158,23.7,2022-06-01
2022,9,227,0.5973684210526315,22.7,2022-09-01
2022,12,185,0.4868421052631579,18.5,2022-12-01
2023,3,222,0.5842105263157895,22.2,2023-03-01
2023,6,230,0.6052631578947368,23.0,2023-06-01
