year,month,edges,density,mean_degree,assortativity,transitivity,global_efficiency,modularity,num_communities,time
2015,3,21,0.23333333333333334,4.2,0.18289088023757247,0.16666666666666666,0.0,0.10387811634349028,4,2015-03-01
2015,6,43,0.4777777777777778,8.6,-0.3250576206708694,0.5393258426966292,0.0,0.053259871441689643,2,2015-06-01
2015,9,8,0.08888888888888889,1.6,-0.33333333333333337,0.0,0.0,0.40816326530612246,4,2015-09-01
2015,12,11,0.12222222222222222,2.2,0.3560258220479412,0.0,0.0,0.24500000000000002,5,2015-12-01
2016,3,15,0.16666666666666666,3.0,7.367642045264086e-18,0.3,0.0,0.22193877551020408,4,2016-03-01
2016,6,33,0.36666666666666664,6.6,-0.10448617286384636,0.3384615384615385,0.0,0.07312722948870395,2,2016-06-01
2016,9,19,0.2111111111111111,3.8,0.18994600695372332,0.2857142857142857,0.0,0.1435185185185185,4,2016-09-01
2016,12,24,0.26666666666666666,4.8,-0.2580970963705469,0.30357142857142855,0.0,0.1315192743764172,3,2016-12-01
2017,3,8,0.08888888888888889,1.6,-0.3333333333333334,0.3333333333333333,0.0,0.3163265306122449,5,2017-03-01
2017,6,52,0.5777777777777777,10.4,-0.13335641223502984,0.6224489795918368,0.0,0.027391975308642,2,2017-06-01
2017,9,32,0.35555555555555557,6.4,-0.23708389960450219,0.417910447761194,0.0,0.06639999999999999,3,2017-09-01
2017,12,18,0.2,3.6,-0.4298497887072625,0.15217391304347827,0.0,0.23356401384083042,3,2017-12-01
2018,3,25,0.2777777777777778,5.0,-0.2701450645374907,0.25,0.0,0.14874999999999997,2,2018-03-01
2018,6,58,0.6444444444444445,11.6,-0.06454663208502613,0.6428571428571429,0.0,0.012820512820512775,2,2018-06-01
2018,9,34,0.37777777777777777,6.8,-0.18670668781314592,0.4166666666666667,0.0,0.07026627218934915,3,2018-09-01
2018,12,18,0.2,3.6,-0.3790207334934469,0.2631578947368421,0.0,0.138671875,3,2018-12-01
2019,3,26,0.28888888888888886,5.2,-0.1588304564822477,0.36486486486486486,0.0,0.10875000000000004,3,2019-03-01
2019,6,61,0.6777777777777778,12.2,-0.18840919789575988,0.7430167597765364,0.0,0.012820512820512775,2,2019-06-01
2019,9,45,0.5,9.0,-0.14799069326801365,0.5654205607476636,0.0,0.06166666666666665,2,2019-09-01
2019,12,14,0.15555555555555556,2.8,-0.16666666666666669,0.0,0.0,0.22448979591836735,3,2019-12-01
2020,3,18,0.2,3.6,0.25024247524370297,0.09375,0.0,0.1796875,3,2020-03-01
2020,6,15,0.16666666666666666,3.0,-0.5004039316667949,0.3409090909090909,0.0,0.11570247933884298,5,2020-06-01
2020,9,21,0.23333333333333334,4.2,-0.20263190984265217,0.20833333333333334,0.0,0.14197530864197527,2,2020-09-01
2020,12,14,0.15555555555555556,2.8,-0.055048188256318034,0.1,0.0,0.3194444444444444,3,2020-12-01
2021,3,19,0.2111111111111111,3.8,-0.13869797623660055,0.2708333333333333,0.0,0.22444444444444447,3,2021-03-01
2021,6,21,0.23333333333333334,4.2,-0.13058572501980212,0.2777777777777778,0.0,0.18364197530864199,2,2021-06-01
2021,9,20,0.2222222222222222,4.0,-0.44170393764001703,0.21428571428571427,0.0,0.20833333333333337,2,2021-09-01
2021,12,19,0.2111111111111111,3.8,-0.25823359156705405,0.21428571428571427,0.0,0.1505190311418685,2,2021-12-01
2022,3,16,0.17777777777777778,3.2,-0.2820512820512821,0.22727272727272727,0.0,0.125,3,2022-03-01
2022,6,38,0.4222222222222222,7.6,-0.14729212558258115,0.44047619047619047,0.0,0.02892561983471076,2,2022-06-01
2022,9,36,0.4,7.2,-0.23466983204052905,0.5308641975308642,0.0,0.046639231824416996,3,2022-09-01
2022,12,18,0.2,3.6,-0.2901524303462249,0.34210526315789475,0.0,0.22189349112426038,3,2022-12-01
2023,3,16,0.17777777777777778,3.2,0.1215661347709662,0.25,0.0,0.224609375,3,2023-03-01
2023,6,64,0.7111111111111111,12.8,-0.14683528618788896,0.7242268041237113,0.0,0.0,1,2023-06-01
