year,month,edges,density,mean_degree,assortativity,transitivity,global_efficiency,modularity,num_communities,time
2015,3,54,0.6,10.8,-0.3439251233389072,0.5921052631578947,0.0,0.0,2,2015-03-01
2015,6,70,0.7777777777777778,14.0,-0.202593764510052,0.8423423423423423,0.0,0.0,1,2015-06-01
2015,9,59,0.6555555555555556,11.8,-0.264854563308069,0.7041420118343196,0.0,0.0,1,2015-09-01
2015,12,60,0.6666666666666666,12.0,-0.18027396183518532,0.7269938650306749,0.0,0.0,1,2015-12-01
2016,3,61,0.6777777777777778,12.2,-0.12400087303577856,0.6875,0.0,0.0,2,2016-03-01
2016,6,67,0.7444444444444445,13.4,-0.14188780151201197,0.8188775510204082,0.0,0.0,1,2016-06-01
2016,9,68,0.7555555555555555,13.6,-0.22783300610721055,0.7665094339622641,0.0,0.0,1,2016-09-01
2016,12,53,0.5888888888888889,10.6,-0.16224738547205209,0.6022727272727273,0.0,0.0,2,2016-12-01
2017,3,30,0.3333333333333333,6.0,-0.3678014409464669,0.4897959183673469,0.0,0.08161157024793386,3,2017-03-01
2017,6,71,0.7888888888888889,14.2,-0.07551229546669083,0.7924107142857143,0.0,0.0,1,2017-06-01
2017,9,56,0.6222222222222222,11.2,-0.29954775568381115,0.7789855072463768,0.0,0.0,1,2017-09-01
2017,12,62,0.6888888888888889,12.4,-0.1817174863922084,0.74,0.0,0.0,1,2017-12-01
2018,3,56,0.6222222222222222,11.2,-0.24817656072303787,0.7035714285714286,0.0,0.0171658144631118,2,2018-03-01
2018,6,50,0.5555555555555556,10.0,-0.21575848566842284,0.6636363636363637,0.0,0.0714285714285714,2,2018-06-01
2018,9,75,0.8333333333333334,15.0,-0.18841358630998084,0.8591269841269841,0.0,0.0,1,2018-09-01
2018,12,65,0.7222222222222222,13.0,-0.07975719329252796,0.7083333333333334,0.0,0.0,1,2018-12-01
2019,3,62,0.6888888888888889,12.4,-0.24964832434280976,0.702247191011236,0.0,0.0,1,2019-03-01
2019,6,67,0.7444444444444445,13.4,-0.09605324861365991,0.7864321608040201,0.0,0.0,1,2019-06-01
2019,9,62,0.6888888888888889,12.4,-0.167268878990332,0.6731843575418994,0.0,0.0,1,2019-09-01
2019,12,67,0.7444444444444445,13.4,-0.12185366385840371,0.7404761904761905,0.0,0.0,1,2019-12-01
2020,3,59,0.6555555555555556,11.8,-0.09695055196126884,0.7258064516129032,0.0,0.012820512820512775,2,2020-03-01
2020,6,24,0.26666666666666666,4.8,-0.07401205672371726,0.25,0.0,0.16666666666666663,2,2020-06-01
2020,9,50,0.5555555555555556,10.0,-0.2968749999999999,0.675,0.0,0.02285714285714288,2,2020-09-01
2020,12,39,0.43333333333333335,7.8,-0.1601310644587115,0.4540229885057471,0.0,0.04934601664684904,2,2020-12-01
2021,3,25,0.2777777777777778,5.0,-0.3329001514305916,0.3,0.0,0.07466918714555762,2,2021-03-01
2021,6,33,0.36666666666666664,6.6,-0.30071112754330914,0.6372549019607843,0.0,0.08072916666666666,3,2021-06-01
2021,9,51,0.5666666666666667,10.2,-0.22622512233374092,0.6363636363636364,0.0,0.030864197530864196,2,2021-09-01
2021,12,63,0.7,12.6,-0.2728438072319594,0.7378378378378379,0.0,0.0,1,2021-12-01
2022,3,60,0.6666666666666666,12.0,-0.26392777770994874,0.7099447513812155,0.0,0.0,1,2022-03-01
2022,6,57,0.6333333333333333,11.4,-0.20057985899893577,0.7601351351351351,0.0,0.0,1,2022-06-01
2022,9,64,0.7111111111111111,12.8,-0.2363458058486173,0.7227979274611399,0.0,0.0,1,2022-09-01
2022,12,47,0.5222222222222223,9.4,-0.13896173656225305,0.5566037735849056,0.0,0.008873456790123496,2,2022-12-01
2023,3,51,0.5666666666666667,10.2,-0.18315816457318634,0.65625,0.0,0.030864197530864196,2,2023-03-01
2023,6,60,0.6666666666666666,12.0,-0.23013506571998923,0.6785714285714286,0.0,0.0,1,2023-06-01
