year,month,edges,density,mean_degree,assortativity,transitivity,global_efficiency,modularity,num_communities,time
2015,3,103,0.2710526315789474,10.3,-0.02063662839051432,0.3855932203389831,0.0,0.1786159169550173,3,2015-03-01
2015,6,213,0.5605263157894737,21.3,-0.1681455718876834,0.6305237315875614,0.0,0.05462501886223026,2,2015-06-01
2015,9,119,0.3131578947368421,11.9,0.05089134414936533,0.48639455782312924,0.0,0.08842105263157893,4,2015-09-01
2015,12,96,0.25263157894736843,9.6,0.03667960332688207,0.4748427672955975,0.0,0.1617056245434624,3,2015-12-01
2016,3,123,0.3236842105263158,12.3,0.043412497075797515,0.5081395348837209,0.0,0.10768447261204164,4,2016-03-01
2016,6,185,0.4868421052631579,18.5,-0.021736522965773098,0.5488958990536278,0.0,0.05364418288818465,3,2016-06-01
2016,9,148,0.3894736842105263,14.8,-0.03175940530314263,0.579454253611557,0.0,0.08825014729399883,3,2016-09-01
2016,12,124,0.3263157894736842,12.4,-0.16248012145340163,0.39775051124744376,0.0,0.12775898896404414,2,2016-12-01
2017,3,60,0.15789473684210525,6.0,-0.11024720829597298,0.3201754385964912,0.0,0.1884,6,2017-03-01
2017,6,238,0.6263157894736842,23.8,-0.043382934883125036,0.6806896551724138,0.0,0.024224058769513293,2,2017-06-01
2017,9,157,0.4131578947368421,15.7,-0.10879421459064545,0.5464135021097046,0.0,0.05575171244968575,3,2017-09-01
2017,12,146,0.38421052631578945,14.6,0.046697714491452144,0.4533508541392904,0.0,0.062256676456526217,3,2017-12-01
2018,3,113,0.29736842105263156,11.3,-0.04278928788771058,0.4231770833333333,0.0,0.1354868542740124,3,2018-03-01
2018,6,191,0.5026315789473684,19.1,-0.08094935095197013,0.586687306501548,0.0,0.06320104622503897,3,2018-06-01
2018,9,175,0.4605263157894737,17.5,0.006325209653054102,0.592255125284738,0.0,0.07529600000000004,3,2018-09-01
2018,12,135,0.35526315789473684,13.5,-0.04195401964090994,0.4753694581280788,0.0,0.06913267534282468,3,2018-12-01
2019,3,148,0.3894736842105263,14.8,-0.03593998125104791,0.5514820592823713,0.0,0.08274872448979592,3,2019-03-01
2019,6,237,0.6236842105263158,23.7,-0.11905584698579369,0.7165381920112124,0.0,0.03779442397051758,2,2019-06-01
2019,9,197,0.5184210526315789,19.7,-0.10537522329285066,0.5738476011288806,0.0,0.042821886158370126,2,2019-09-01
2019,12,125,0.32894736842105265,12.5,0.13987324237868362,0.48613678373382624,0.0,0.09410366681756449,3,2019-12-01
2020,3,106,0.2789473684210526,10.6,0.21666707030110144,0.4752906976744186,0.0,0.16666666666666663,3,2020-03-01
2020,6,74,0.19473684210526315,7.4,-0.0021491486731597827,0.3216374269005848,0.0,0.2027680730986294,3,2020-06-01
2020,9,130,0.34210526315789475,13.0,-0.14511942993487617,0.5197095435684648,0.0,0.10875,2,2020-09-01
2020,12,84,0.22105263157894736,8.4,0.003191852818692659,0.3140495867768595,0.0,0.16379706152433426,3,2020-12-01
2021,3,76,0.2,7.6,0.010503477792065166,0.2543352601156069,0.0,0.20877966813694604,3,2021-03-01
2021,6,101,0.2657894736842105,10.1,0.09246110272841201,0.40977443609022557,0.0,0.10733564013840828,4,2021-06-01
2021,9,138,0.3631578947368421,13.8,-0.17539741455291855,0.4547008547008547,0.0,0.09603458817363958,3,2021-09-01
2021,12,111,0.29210526315789476,11.1,-0.03453525650269278,0.4172661870503597,0.0,0.1648442906574394,3,2021-12-01
2022,3,110,0.2894736842105263,11.0,0.027436057037527058,0.43207126948775054,0.0,0.12372175230400198,3,2022-03-01
2022,6,200,0.5263157894736842,20.0,-0.04346786352905892,0.6201923076923077,0.0,0.029007702355749773,2,2022-06-01
2022,9,187,0.4921052631578947,18.7,-0.18140407207868606,0.5835913312693498,0.0,0.042222222222222223,3,2022-09-01
2022,12,109,0.2868421052631579,10.9,-0.0837635824309734,0.3838383838383838,0.0,0.10543646694214875,4,2022-12-01
2023,3,116,0.30526315789473685,11.6,0.08161973083970149,0.3860619469026549,0.0,0.12266710069444445,3,2023-03-01
2023,6,235,0.618421052631579,23.5,-0.15439517133034678,0.6744919411352488,0.0,0.030392562761112657,2,2023-06-01
