Airport,Airport Name,Mean (minutes),Std (minutes),KS Statistic,P-value,R-squared,AIC,BIC,RMSE,Sample Size,Region
LWSK,Skopje,2.1483613204846868,15.091914058155012,0.058342623510468594,1.8300867446257725e-62,0.9839532252141704,173279.98549124907,173295.88642435652,0.0009638866625175485,20962,Balkans
LATI,Tirana,4.2501663312473,13.739737704310551,0.06002062818466147,4.9261580823261744e-114,0.9825722878551246,293034.0325300871,293051.0301879708,0.0011802580015899367,36273,Balkans
BKPR,Pristina,4.634155473578005,13.853806658713129,0.06411997256261937,5.0926345651586455e-76,0.9817325282062509,171164.61982749603,171180.5380504086,0.0014655243583079126,21144,Balkans
LBSF,Sofia,0.6161795309754493,15.121486892094563,0.06640756695242356,7.693463528563101e-261,0.9790270835948106,561660.2829411309,561678.5349360866,0.001182156340246947,67914,Balkans
LDZA,Zagreb,2.9101402204395748,13.379136400597437,0.06955211224213631,1.979478571633381e-215,0.978092388854011,410175.5539697994,410193.237440703,0.0014293345667637507,51110,Balkans
LQSA,Sarajevo,5.35407813570939,14.75667107270844,0.06928610537976443,2.4022988079985705e-61,0.9780510233628981,119952.29398812394,119967.47017140698,0.0016854791192883363,14590,Balkans
LYTV,Tivat,3.6355684007707136,14.29877585074256,0.07409037263869422,1.623691611351238e-66,0.9745205698229619,112913.8329471373,112928.90358359565,0.0018188017178496763,13840,Balkans
LDDU,Dubrovnik,3.3635573023063037,14.02033939931921,0.07726253373742586,2.3315236196296e-117,0.9725137783415564,182825.2831378735,182841.32727841023,0.0017885292032036124,22518,Balkans
LBBG,Burgas,0.16261870165705317,16.845495956161102,0.09013928440751195,5.08144541809428e-161,0.9588334988749498,192730.53856001946,192746.59976935465,0.0009632995299068154,22711,Balkans
LDSP,Split,4.798392078896527,15.336176185100676,0.09616567515363739,2.5589742602548017e-239,0.9525058657921458,246264.53047136602,246281.12665920064,3.19478182715006e-05,29676,Balkans
EIDW,Dublin,1.8010735507096713,17.266630610617266,0.08059770000449762,0.0,0.9693604443700226,2272963.032882921,2272984.0176179335,0.0009055727510393959,266297,Europe
LIRF,Rome Fiumicino,-0.1512861170347693,16.011807065259013,0.08254915272356467,0.0,0.9675922682014143,2897705.9006056143,2897727.406686033,0.0004565814400377014,345601,Europe
EDDM,Munich,3.1830483943205428,14.892359083525287,0.08884628641921577,0.0,0.9613173320047842,3667158.065136018,3667180.077091748,0.0007210406180877815,445066,Europe
EGKK,London Gatwick,12.428034030210666,20.83761744523305,0.10021533849646591,0.0,0.9511903363710194,2818393.6542178774,2818414.982908346,0.0007922603661469145,316268,Europe
LEBL,Barcelona,6.526223984686954,16.56119566452591,0.1064864078266381,0.0,0.945801833770066,3232210.0622195927,3232231.770763883,0.0011755956876447256,382419,Europe
EDDF,Frankfurt,3.7038669733924676,19.596877128310535,0.10989030040014625,0.0,0.9402428239056054,5035292.997642666,5035315.514690787,0.0006200331041832988,572933,Europe
EGLL,London Heathrow,18.30229772527013,23.571816331311542,0.10890886542108935,0.0,0.9374644791368077,5130826.746352464,5130849.218654236,0.00034411355626176246,560257,Europe
LEMD,Madrid Barajas,6.628393982098968,18.261763074612205,0.11258311052871839,0.0,0.9320875357341817,4123510.5422184067,4123532.6921077515,0.00015311237117076465,476844,Europe
LFPG,Paris Charles de Gaulle,8.347514331860213,18.63837355338014,0.11555622953188505,0.0,0.9318794335660463,5058440.736513533,5058463.285689941,0.00036620269579911265,582211,Europe
EHAM,Amsterdam Schiphol,11.04034214818019,20.811253986201585,0.13299325463241807,0.0,0.9098985816690123,5313411.362813768,5313433.960207853,0.0004606512494534248,596418,Europe
