lag_hours,p_value,f_statistic
1,3.088959914034752e-33,144.42155276516166
2,2.0514450157102517e-15,33.835895106642745
3,2.344848578560994e-10,15.939563237352267
4,1.2021859866209957e-08,10.674500033155402
5,3.1671608142564275e-19,19.273986992498575
6,9.136378155742127e-19,16.228457556656014
7,1.6436865391484433e-19,14.860491815964531
8,1.727994518063313e-19,13.359353412531016
9,1.674029513275569e-20,12.745949782643548
10,6.701467948693142e-23,12.933885267944659
11,7.316246707221862e-43,20.83734503843946
12,3.4019601645393098e-46,20.708968928242825
13,7.63658068505892e-49,20.347551704406868
14,1.6359173147941958e-59,22.796634538669522
15,2.5091986424691923e-118,40.20891782546627
16,1.1452886193599943e-140,44.564757715534014
17,2.4625688622627686e-148,44.31673009243454
18,1.0162100445143059e-134,38.47609935384399
19,1.2767925221221707e-113,31.352529662839682
20,5.029017911543075e-101,26.947098474578485
21,8.909729127091858e-89,23.020130163505076
22,5.995226581190819e-77,19.519667161206517
23,4.86547123952576e-66,16.492766337304516
24,1.2008396679496675e-67,16.259848652013098
