lag_hours,p_value,f_statistic
1,4.06774201796091e-108,489.5427722997648
2,1.0522332333905604e-79,182.30678444620077
3,2.474375445284922e-72,111.96560290455201
4,8.357933208410331e-74,86.91983150614143
5,1.5505507910715798e-89,85.14564065964854
6,2.486612522737764e-137,108.95728126766979
7,1.6938836278947526e-161,110.25199280273475
8,5.598087295230124e-209,124.93055500567449
9,9.093144205951003e-250,132.92429831032223
10,7.271336229096752e-274,131.49692914997752
11,1.9026341346583704e-274,120.25037132530954
12,5.692890072957135e-271,109.27307982606224
13,7.084945665447678e-272,101.56928972423508
14,1.8545066765034705e-268,93.50003539107873
15,2.097224047714023e-262,85.66849140857981
16,1.587690832201505e-252,77.67649152533494
17,8.824611053040366e-242,70.37569888508379
18,4.678969861408844e-225,62.302730590490576
19,4.1472562572944824e-206,54.51381032416758
20,7.39759506534541e-201,50.74721124623466
21,6.674889424141088e-188,45.58871280082405
22,6.10234640527072e-184,42.83881734752218
23,1.752633786280757e-176,39.5988304814154
24,1.5847206267225185e-173,37.51988471167977
