Destination,BKPR,EDDF,EDDM,EGKK,EGLL,EHAM,EIDW,LATI,LBBG,LBSF,LDDU,LDSP,LDZA,LEBL,LEMD,LFPG,LIRF,LQSA,LWSK,LYTV
BKPR,1.0,0.07526432167082406,0.26646007333236865,0.25713104017816396,0.24308712938850557,0.22177158729478955,0.35655788692784113,0.3509695446062475,0.06896977051832644,0.4594974452422819,0.1731423089442359,0.2597421817531555,0.3645995279113518,0.15164219731552472,0.24998672406221717,0.40081793054734677,0.10228613860850734,0.31722509266859883,0.4177469447258707,0.13812696133635397
EDDF,0.07526432167082406,1.0,0.6757195246613206,0.4112661939395457,0.47626499465018257,0.43311950691952905,0.3912821633633553,0.2915502563202739,0.11016478838255449,0.4302445358109518,0.2590272221925387,0.31076790386966396,0.5041044924871927,0.42008720843998787,0.4251386332269239,0.35042822813005625,0.5386624836271133,0.19441944065923245,0.22973435415236806,0.3842686257853322
EDDM,0.26646007333236865,0.6757195246613206,1.0,0.5990460292517391,0.6118799326816741,0.51264637404778,0.2034102329066058,0.44383006233861266,0.11806804835285345,0.6631899242262591,0.38100698298101005,0.44390648525001136,0.69818011108534,0.5870293715647178,0.5697969116297413,0.5916378631360426,0.16659296571936497,0.4138990990876953,0.4816591051218528,0.4124599039444288
EGKK,0.25713104017816396,0.4112661939395457,0.5990460292517391,1.0,0.6987892651178587,0.42096140724970815,0.6215534334945716,0.3873850641830887,0.10358888560514193,0.5598648517305966,0.3451387862202646,0.3783095544678662,0.594875105769962,0.5393950758774899,0.4640537061513774,0.5811286994024183,0.44774644130756786,0.41268940395597326,0.4380943139406183,0.35962501591533663
EGLL,0.24308712938850557,0.47626499465018257,0.6118799326816741,0.6987892651178587,1.0,0.5296060329760812,0.6314905559740805,0.4021536534333698,0.0843583545382871,0.5479024001082786,0.30049886288096966,0.329001215942361,0.5410264514651462,0.42896857553118284,0.5152580549012683,0.6068091645095514,0.33633026889063533,0.37727697893673345,0.36143925856422954,0.28083878097669646
EHAM,0.22177158729478955,0.43311950691952905,0.51264637404778,0.42096140724970815,0.5296060329760812,1.0,0.44576183825264737,0.2739566391764342,0.08594456919640923,0.4116048136212593,0.23957475489021518,0.2382877605511583,0.4303926170245042,0.3530964489284525,0.383363816525132,0.45811426777762543,0.35718710042523527,0.2368660063569014,0.27841575844023897,0.1942472635715745
EIDW,0.35655788692784113,0.3912821633633553,0.2034102329066058,0.6215534334945716,0.6314905559740805,0.44576183825264737,1.0,0.4636689273733999,0.1236609228863486,0.6612702342045266,0.42374053541120577,0.4501205809688286,0.6795644896930968,0.5490786044706927,0.5656778532792779,0.6256343063522619,0.552993551542603,0.4745931518285826,0.5299759127466878,0.3475667689223309
LATI,0.3509695446062475,0.2915502563202739,0.44383006233861266,0.3873850641830887,0.4021536534333698,0.2739566391764342,0.4636689273733999,1.0,0.04674009524502023,0.45421920374517505,0.30719350209617174,0.38322563614960664,0.4693142289643203,0.353061829734613,0.38097847762649356,0.3606350495294415,0.3243693907393748,0.3707995767904576,0.3944455735531182,0.40081044496208
LBBG,0.06896977051832644,0.11016478838255449,0.11806804835285345,0.10358888560514193,0.0843583545382871,0.08594456919640923,0.1236609228863486,0.04674009524502023,1.0,0.09226596947702764,0.03152790407417363,0.05661564915000575,0.08309459186470605,0.07800138716875478,0.10868029891571045,0.0732538962805252,0.08481824965747893,0.04016983147554204,0.059143079299052284,0.16498871422806557
LBSF,0.4594974452422819,0.4302445358109518,0.6631899242262591,0.5598648517305966,0.5479024001082786,0.4116048136212593,0.6612702342045266,0.45421920374517505,0.09226596947702764,1.0,0.4309810191615851,0.45335115826980915,0.7250962575130425,0.5026696368540348,0.5581373917107282,0.24875426404979967,0.5233763943137173,0.5153090299301408,0.6291935509298294,0.3699905734528295
