Origin,Destination,Flights
BIKF,EDDF,1979
BIKF,EDDM,1103
BIKF,EGKK,2345
BIKF,EGLL,2432
BIKF,EHAM,2128
BIKF,EIDW,1562
BIKF,LEBL,679
BIKF,LEMD,336
BIKF,LFPG,2270
BIKF,LIRF,137
BKPR,EDDF,686
BKPR,EDDM,1154
CYEG,EHAM,387
CYHZ,EDDF,215
CYHZ,EGKK,148
CYHZ,EGLL,595
CYOW,EDDF,294
CYOW,EGLL,584
CYQB,LFPG,229
CYUL,EDDF,1411
CYUL,EDDM,668
CYUL,EGKK,213
CYUL,EGLL,1790
CYUL,EHAM,792
CYUL,EIDW,133
CYUL,LEBL,514
CYUL,LEMD,170
CYUL,LFPG,4753
CYUL,LIRF,758
CYVR,EDDF,1365
CYVR,EDDM,441
CYVR,EGKK,557
CYVR,EGLL,2064
CYVR,EHAM,771
CYVR,EIDW,195
CYVR,LFPG,665
CYYC,EDDF,907
CYYC,EGKK,511
CYYC,EGLL,1482
CYYC,EHAM,934
CYYC,LFPG,131
CYYT,EGKK,124
CYYT,EGLL,328
CYYT,EIDW,253
CYYZ,EDDF,3091
CYYZ,EDDM,1220
CYYZ,EGKK,1655
CYYZ,EGLL,5133
CYYZ,EHAM,2538
CYYZ,EIDW,1704
CYYZ,LDZA,146
CYYZ,LEBL,616
CYYZ,LEMD,516
CYYZ,LFPG,2158
CYYZ,LIRF,1246
DAAE,LFPG,134
DAAG,EDDF,1251
DAAG,EGKK,494
DAAG,EGLL,674
DAAG,LEBL,2336
DAAG,LEMD,1436
DAAG,LFPG,7697
DAAG,LIRF,1847
DABB,LFPG,287
DABC,LFPG,407
DAOI,LFPG,154
DAOO,LEBL,529
DAOO,LEMD,213
DAOO,LFPG,1411
DAOO,LIRF,154
DAUH,LEMD,259
DBBB,LFPG,675
DFFD,LFPG,374
DGAA,EGLL,950
DGAA,EHAM,940
DGAA,LFPG,358
DIAP,LFPG,1421
DNAA,EDDF,674
DNAA,EGLL,924
DNAA,LFPG,434
DNMM,EDDF,807
DNMM,EGKK,120
DNMM,EGLL,2133
DNMM,EHAM,886
DNMM,LFPG,834
DRRN,LFPG,593
DTMB,EDDF,157
DTMB,EDDM,129
DTMB,LFPG,684
DTNH,EDDF,109
DTNH,EDDM,103
DTNH,EGKK,314
DTNH,LBSF,116
DTTA,EDDF,1953
DTTA,EDDM,533
DTTA,EGKK,332
DTTA,EGLL,429
DTTA,EHAM,175
DTTA,LEBL,564
DTTA,LEMD,523
DTTA,LFPG,4737
DTTA,LIRF,2506
DTTJ,EDDF,386
DTTJ,EDDM,159
DTTJ,LFPG,1195
DTTX,LFPG,158
DXXX,LFPG,418
EBAW,EHAM,203
EBAW,LDSP,102
EBAW,LEBL,209
EBBR,BKPR,196
EBBR,EDDF,6741
EBBR,EDDM,5559
EBBR,EGKK,334
EBBR,EGLL,6940
EBBR,EHAM,4498
EBBR,EIDW,3854
EBBR,LATI,569
EBBR,LBBG,306
EBBR,LBSF,696
EBBR,LDDU,340
EBBR,LDSP,105
EBBR,LDZA,1651
EBBR,LEBL,7305
EBBR,LEMD,9055
EBBR,LFPG,2467
EBBR,LIRF,6192
EBBR,LYTV,135
EBCI,EIDW,522
EBCI,LATI,155
EBCI,LBSF,964
EBCI,LDZA,153
EBCI,LEBL,737
EBCI,LEMD,1076
EBCI,LIRF,105
EBCI,LWSK,324
EBLG,EDDF,118
EBLG,EDDM,714
EBLG,EIDW,638
EBLG,LEBL,725
EBLG,LEMD,1079
EBLG,LFPG,486
EBOS,LEBL,171
EDDB,BKPR,381
EDDB,EDDF,3326
EDDB,EDDM,3085
EDDB,EGKK,3213
EDDB,EGLL,1028
EDDB,EHAM,4154
EDDB,EIDW,1929
EDDB,LATI,168
EDDB,LBBG,206
EDDB,LBSF,772
EDDB,LDSP,310
EDDB,LEBL,3584
EDDB,LEMD,2054
EDDB,LFPG,2537
EDDB,LIRF,730
EDDB,LWSK,288
EDDC,EDDF,3886
EDDC,EDDM,3409
EDDC,EHAM,686
EDDC,LBBG,110
EDDF,BKPR,677
EDDF,EDDF,221
EDDF,EDDM,12022
EDDF,EGLL,14343
EDDF,EHAM,10024
EDDF,EIDW,5156
EDDF,LATI,1401
EDDF,LBBG,333
EDDF,LBSF,3083
EDDF,LDDU,985
EDDF,LDSP,1435
EDDF,LDZA,4313
EDDF,LEBL,6936
EDDF,LEMD,9229
EDDF,LFPG,11235
EDDF,LIRF,6009
EDDF,LQSA,242
EDDG,EDDF,2706
EDDG,EDDM,3530
EDDH,BKPR,140
EDDH,EDDF,12457
EDDH,EDDM,15468
EDDH,EGKK,1327
EDDH,EGLL,5799
EDDH,EHAM,5579
EDDH,EIDW,1410
EDDH,LATI,113
EDDH,LBBG,133
EDDH,LBSF,212
EDDH,LDSP,352
EDDH,LEBL,2083
EDDH,LEMD,1519
EDDH,LFPG,5093
EDDH,LIRF,823
EDDH,LWSK,261
EDDK,EDDF,266
EDDK,EDDM,11628
EDDK,EGKK,272
EDDK,EGLL,2154
EDDK,EHAM,404
