Airport 1,Airport 2,Correlation,Airport 1 Name,Airport 2 Name
LDZA,LBSF,0.7250962575130425,Zagreb,Sofia
EGLL,EGKK,0.6987892651178587,London Heathrow,London Gatwick
LDZA,EDDM,0.69818011108534,Zagreb,Munich
LDZA,EIDW,0.6795644896930968,Zagreb,Dublin
EDDM,EDDF,0.6757195246613206,Munich,Frankfurt
LBSF,EDDM,0.6631899242262591,Sofia,Munich
LBSF,EIDW,0.6612702342045266,Sofia,Dublin
LFPG,LDZA,0.6346944136986311,Paris Charles de Gaulle,Zagreb
EIDW,EGLL,0.6314905559740805,Dublin,London Heathrow
LWSK,LBSF,0.6291935509298294,Skopje,Sofia
LEMD,LEBL,0.6269140937201133,Madrid Barajas,Barcelona
LFPG,EIDW,0.6256343063522619,Paris Charles de Gaulle,Dublin
EIDW,EGKK,0.6215534334945716,Dublin,London Gatwick
EGLL,EDDM,0.6118799326816741,London Heathrow,Munich
LFPG,EGLL,0.6068091645095514,Paris Charles de Gaulle,London Heathrow
LWSK,LDZA,0.6063578364912947,Skopje,Zagreb
EGKK,EDDM,0.5990460292517391,London Gatwick,Munich
LDZA,EGKK,0.594875105769962,Zagreb,London Gatwick
LFPG,EDDM,0.5916378631360426,Paris Charles de Gaulle,Munich
LEBL,EDDM,0.5870293715647178,Barcelona,Munich
