,BKPR,EDDF,EDDM,EGKK,EGLL,EHAM,EIDW,LATI,LBBG,LBSF,LDDU,LDSP,LDZA,LEBL,LEMD,LFPG,LIRF,LQSA,LWSK,LYTV
BKPR,1.0,-0.11598335146534025,0.03472120883226504,0.046519281712347274,-0.27924976757032055,0.22997973494447546,0.05595164248801053,-0.11681367189662066,0.1402148322032027,0.12506944470988487,0.0022773713714289,-0.028580361187907837,0.3630344080046775,0.08987534548576574,-0.055172726407848025,-0.05026146101521451,-0.030432325287691447,0.2342088584468455,0.15034706733675324,0.0105421266212282
EDDF,-0.11598335146534025,1.0,-0.1419177855408384,0.35212711384046613,0.10902600985767141,0.05130863738347371,0.32803234150185934,0.19848244469571025,0.04658398991749689,0.13383757237329924,0.24681091543078326,0.15325702773850067,-0.09318624346023562,0.14415793578922262,0.23371150852149689,0.13409156802136363,0.3611647283771391,0.047710764363363994,0.11087758404395988,0.12001035994987976
EDDM,0.03472120883226504,-0.1419177855408384,1.0,-0.12472915456143419,-0.00875660776626085,-0.017914501117422314,0.05325529749811394,-0.044492667258806434,-0.1353770145640527,-0.0006571024797517273,-0.1856646525397978,-0.021946239191473583,0.17274187240187713,-0.10225964426520098,0.022828082844828682,-0.051985624127408425,0.017499832267826074,0.04802164858081579,-0.08963153955586844,0.18838748109397127
EGKK,0.046519281712347274,0.35212711384046613,-0.12472915456143419,1.0,-0.13154402801415596,0.09637145023155728,0.4907087299475403,0.05278012563379398,0.032981044544454316,0.18380237329832713,0.2918026019507391,0.0816189103533197,0.0681758154331898,0.3372455352360224,0.241729811548397,-0.023252754256625624,0.27480786914296557,0.161522559828049,0.22754660008335098,-0.010536613148230877
EGLL,-0.27924976757032055,0.10902600985767141,-0.00875660776626085,-0.13154402801415596,1.0,-0.05057519208687274,0.00490201712289409,0.4219243855733279,-0.018873270607194282,-0.14960220407525737,0.002131283827455292,-0.0283080910076386,-0.49935517799039986,0.0007000241458635778,-0.055641577154255294,-0.06772441056481135,0.1304722912801451,-0.08386866009933322,-0.09622461431842372,0.04687078508275295
EHAM,0.22997973494447546,0.05130863738347371,-0.017914501117422314,0.09637145023155728,-0.05057519208687274,1.0,0.08299848408635623,0.06849356558566863,0.2067967870995909,0.21096287612642123,0.08363753413770596,-0.07347945265824446,-0.13142678974394847,0.48785403494105045,0.15801376969506783,-0.021960828204485385,-0.016868125672396657,-0.0515722223527127,-0.1410256647400502,0.027728248874496087
EIDW,0.05595164248801053,0.32803234150185934,0.05325529749811394,0.4907087299475403,0.00490201712289409,0.08299848408635623,1.0,0.2506961914940211,0.04434358785004628,0.09492027934647608,0.29183911810819874,0.16560641753116356,0.1578479169137966,0.30988861433636666,0.12949467399105838,-0.031415192850834724,0.3427156094356275,0.27507843376122704,0.1484425261213767,-0.05105970702768482
LATI,-0.11681367189662066,0.19848244469571025,-0.044492667258806434,0.05278012563379398,0.4219243855733279,0.06849356558566863,0.2506961914940211,1.0,-0.06633737553389155,0.07899426073789777,0.2733682885412801,0.21744109887463048,-0.22480669600809455,0.27181817746993997,0.024853959196055632,0.14192624520520597,0.2847153057436602,0.022388497844275553,0.08764625752078772,0.20177129887458425
LBBG,0.1402148322032027,0.04658398991749689,-0.1353770145640527,0.032981044544454316,-0.018873270607194282,0.2067967870995909,0.04434358785004628,-0.06633737553389155,1.0,0.09089977017283112,0.1706874973826903,0.06605897145577558,-0.0261550370617604,0.2338371075387073,0.04257526978083555,-0.03739579482986709,0.09087314079367241,0.10850340681322078,0.1730167962504435,0.013712160755027136
LBSF,0.12506944470988487,0.13383757237329924,-0.0006571024797517273,0.18380237329832713,-0.14960220407525737,0.21096287612642123,0.09492027934647608,0.07899426073789777,0.09089977017283112,1.0,0.1005927623432241,0.17375092808586146,0.05605465743379899,0.3137810453602829,0.13683842575567254,0.177120761718695,0.10026856461599558,0.11785541671455943,0.06980205870482807,0.11721040654448378
