,BKPR,EDDF,EDDM,EGKK,EGLL,EHAM,EIDW,LATI,LBBG,LBSF,LDDU,LDSP,LDZA,LEBL,LEMD,LFPG,LIRF,LQSA,LWSK,LYTV
BKPR,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EDDF,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EDDM,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGKK,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGLL,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
EHAM,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EIDW,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LATI,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LBBG,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
LBSF,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
LDDU,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
LDSP,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LDZA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
LEBL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
LEMD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
LFPG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
LIRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
LQSA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
LWSK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
LYTV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
