,BKPR,EDDF,EDDM,EGKK,EGLL,EHAM,EIDW,LATI,LBBG,LBSF,LDDU,LDSP,LDZA,LEBL,LEMD,LFPG,LIRF,LQSA,LWSK,LYTV
BKPR,1.0,1.2171653761283645e-53,1.3556995691489704e-24,1.900782755676129e-37,1.325091837220341e-32,1.3369537681138492e-21,1.2994617765518896e-20,9.509571553168695e-29,5.729454212130715e-14,4.4946668090172867e-20,2.1003222655230152e-05,1.155142758502041e-12,2.7429643436934492e-146,4.2614621812924807e-32,6.8050407900162966e-40,1.576217464902225e-10,1.4109017130598386e-31,7.759816285704939e-65,2.7977060915905876e-32,3.3739478501297644e-16
EDDF,1.6502536430260743e-31,1.0,9.047057074951777e-95,3.374136449913043e-194,1.0656898915198404e-128,8.42753000050692e-91,1.2788819721732493e-176,6.261943624014387e-72,1.5792294761431865e-06,2.497161047442639e-79,9.686709818976968e-56,1.0997303499308137e-27,1.649557325866059e-47,1.2316184271427128e-158,9.744997913309803e-125,1.8719155512725227e-55,3.5783329069004124e-161,5.4881407749893235e-49,7.881592223370152e-75,1.3024402216353514e-43
EDDM,1.261423507422365e-31,8.207587749076652e-59,1.0,1.8754682860951463e-105,4.0432483101476193e-50,6.833914509098489e-65,7.786957484066479e-118,3.636421969680486e-31,2.7385204040877897e-14,3.5028485720091657e-65,1.703744866676308e-30,5.649097681569987e-57,2.249296723237689e-29,4.773656415687075e-96,2.971938971383655e-59,1.3919254600382644e-37,3.7451048497445506e-80,6.707295057484988e-79,2.920844027898431e-62,8.131897235891e-38
EGKK,1.307885564435445e-22,2.7942124586877293e-158,6.299642359294589e-86,1.0,4.60398132898221e-47,8.265337718770957e-38,0.0,2.3128686925321216e-50,1.6033141087010653e-11,5.91577360825103e-65,2.1836171582814583e-69,1.0463655937322542e-40,6.536359482363025e-33,1.886041276670322e-135,2.338860085190509e-70,2.253097465893656e-28,6.014918425363035e-84,3.2974232234722074e-38,1.3569878844991506e-65,1.2603972059324158e-24
EGLL,1.6697543775569692e-80,1.0928071666766299e-65,9.594652623520387e-51,4.103244483259669e-63,1.0,4.4301183064752595e-66,4.73293119155981e-61,4.821187438086141e-282,0.10034288113349235,3.330940660277055e-34,3.862166520959778e-22,1.8809379090626272e-10,6.44728697778572e-294,9.060316689240735e-82,1.6926369949494734e-71,6.967683075980084e-26,5.44519059542483e-63,8.790937519795364e-33,3.882100569853839e-43,5.3114213044294695e-48
EHAM,2.465466913405037e-71,2.5474996028238062e-82,2.0617014050317058e-69,6.173604503412685e-117,4.534494065905497e-70,1.0,1.7338263749047467e-102,8.606286562568417e-34,2.2084964477452153e-30,3.5644939463121196e-61,4.58241344592285e-19,3.9067158681945686e-19,3.1213994050174463e-32,0.0,7.278576434478627e-101,1.4191776697455218e-51,8.067188679862688e-73,1.2837975194434457e-33,4.3256216468126783e-47,4.8739557783839995e-30
EIDW,3.4456376497838857e-28,7.466469597888417e-115,6.408644891144194e-60,2.1664187276041124e-257,1.450940175627399e-58,2.9183038332744556e-50,1.0,6.247766078998823e-95,0.0009198847025088561,8.634645952471572e-59,2.8619939593070917e-67,2.967173490025134e-38,6.339544037311759e-31,8.308966444856642e-139,6.160779148314829e-116,7.262206948088959e-36,3.122624357266837e-151,1.1014911093118122e-108,2.788268140409623e-58,5.3680334468734e-72
LATI,2.203924241385655e-33,5.767256412236906e-53,1.638059322574318e-32,9.086462878994769e-30,6.7848523596185e-33,2.898599302778508e-28,1.4643059745483715e-71,1.0,1.2979531246884488e-07,2.0352392464742802e-29,5.49184758746079e-63,8.228122190306998e-51,1.2077545975332707e-59,3.2849069635574312e-74,3.4759914688304465e-37,6.622164699027833e-15,5.1740545558976014e-104,3.1047893295907672e-25,7.741149204435556e-35,2.5820234036874743e-28
LBBG,6.1335873945291695e-25,1.1213830920100164e-05,8.661011901571289e-07,9.89101703480123e-11,7.511064827773204e-32,5.6617324839086807e-14,0.0013118616767991216,1.4146541780854134e-12,1.0,3.031412398265746e-09,4.319679775545161e-25,8.097135709252954e-05,1.3862130320434028e-06,7.975595488334394e-68,1.0095369045279898e-06,0.034764820166948866,7.968507574344214e-12,2.321505151958841e-14,4.49804664193311e-22,2.7599325333840697e-11
LBSF,6.221462553908195e-13,8.095052396856952e-75,1.1257261728487964e-32,4.2577524575393726e-36,2.65963169036372e-30,6.701989263905228e-27,2.1103328903570661e-35,3.426229180764713e-35,5.7668216315686195e-11,1.0,5.792719163446437e-12,4.914958724705083e-46,1.001306081374491e-16,3.9270556971753176e-103,2.1693378477069815e-35,2.1916624076125163e-27,1.797087042258851e-42,1.2402728376165878e-18,2.5792082340707565e-28,1.5577318947685387e-18
