Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
EGLL,London Heathrow,positive,Log-Logistic,0.022657295023020788,1.0480269851239862e-216,3960027.761262428,3960061.03685741,46.9024448364225,65.1152671974906,132.6003950904116,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,positive,Burr XII,0.005408375568124957,9.497963165928149e-13,3934894.07149503,3934938.4389550057,43.962873254937286,56.851305076075626,98.10841871289279,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,positive,Generalized Gamma,0.41738358156725025,0.0,4483661.981231199,4483706.348691174,51.60173289319149,92.52833756246959,246.92048764273454,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,positive,Weibull,0.0321967388774721,0.0,3957869.5011450676,3957902.7767400495,47.77764040450035,59.48364154335865,85.0972057842476,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,positive,Gamma,0.9384756760849231,0.0,11449958.285615435,11449991.561210416,0.21645980011574706,0.8208569374708818,3.7009217468197537,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,positive,Log-Normal,0.020838297739935174,2.2722100949124467e-183,3951714.7761293813,3951748.051724363,46.06729670136734,60.07905061295151,97.80993582551615,484981,44.21666666666667,56.96666666666667,97.5200000000002
EGLL,London Heathrow,negative,Log-Logistic,0.037136220287347754,2.1820069503166554e-90,451333.82668697863,451361.5052158503,17.860354414920458,27.986421245072318,75.09938811373088,75070,15.266666666666667,19.69250000000005,34.18333333333333
EGLL,London Heathrow,negative,Burr XII,0.020904635106770653,6.272981357297719e-29,443981.32918830664,444018.2338934689,15.403732930169287,20.564907369946443,37.71497267372949,75070,15.266666666666667,19.69250000000005,34.18333333333333
EGLL,London Heathrow,negative,Generalized Gamma,0.03625766721120122,3.516108918444136e-86,450498.7581264467,450535.66283160896,17.342856436456636,24.335381843040306,44.2523734774176,75070,15.266666666666667,19.69250000000005,34.18333333333333
EGLL,London Heathrow,negative,Weibull,0.4375974873636494,0.0,524507.6651992237,524535.3437280954,11.95303070836043,22.189310200302966,61.00794752998848,75070,15.266666666666667,19.69250000000005,34.18333333333333
