Airport,Airport Name,Day of Week,Day Name,Mean Delay
EGLL,London Heathrow,0,Monday,18.052196798796864
EGLL,London Heathrow,1,Tuesday,17.291810787231856
EGLL,London Heathrow,2,Wednesday,17.461711846700048
EGLL,London Heathrow,3,Thursday,18.510945907337746
EGLL,London Heathrow,4,Friday,19.75904335632019
EGLL,London Heathrow,5,Saturday,18.102303680660846
EGLL,London Heathrow,6,Sunday,18.81640859306391
LFPG,Paris Charles de Gaulle,0,Monday,8.230965394881832
LFPG,Paris Charles de Gaulle,1,Tuesday,7.091444525370235
LFPG,Paris Charles de Gaulle,2,Wednesday,7.237445491069113
LFPG,Paris Charles de Gaulle,3,Thursday,8.67240933225342
LFPG,Paris Charles de Gaulle,4,Friday,9.443545659635559
LFPG,Paris Charles de Gaulle,5,Saturday,9.09799299105607
LFPG,Paris Charles de Gaulle,6,Sunday,8.654199402825734
EHAM,Amsterdam Schiphol,0,Monday,11.574371629164897
EHAM,Amsterdam Schiphol,1,Tuesday,9.447293464608403
EHAM,Amsterdam Schiphol,2,Wednesday,10.416838840135854
EHAM,Amsterdam Schiphol,3,Thursday,12.068252963875928
EHAM,Amsterdam Schiphol,4,Friday,12.537760098824608
EHAM,Amsterdam Schiphol,5,Saturday,10.424943482505265
EHAM,Amsterdam Schiphol,6,Sunday,10.552698377469133
EDDF,Frankfurt,0,Monday,4.114549594607713
EDDF,Frankfurt,1,Tuesday,2.6615926438194766
EDDF,Frankfurt,2,Wednesday,2.7469104778634397
EDDF,Frankfurt,3,Thursday,4.024172953469847
EDDF,Frankfurt,4,Friday,4.167803604907155
EDDF,Frankfurt,5,Saturday,4.202307161681
EDDF,Frankfurt,6,Sunday,3.948263652154151
LEMD,Madrid Barajas,0,Monday,6.8148352837585895
LEMD,Madrid Barajas,1,Tuesday,5.965598185372551
LEMD,Madrid Barajas,2,Wednesday,5.840886936078099
LEMD,Madrid Barajas,3,Thursday,6.584786433433737
LEMD,Madrid Barajas,4,Friday,7.111004579214074
LEMD,Madrid Barajas,5,Saturday,6.548069373163135
LEMD,Madrid Barajas,6,Sunday,7.532975069308545
LEBL,Barcelona,0,Monday,6.130784545096971
LEBL,Barcelona,1,Tuesday,4.610271529807954
LEBL,Barcelona,2,Wednesday,5.3698726248165825
LEBL,Barcelona,3,Thursday,6.50620914464534
LEBL,Barcelona,4,Friday,8.402729006486446
LEBL,Barcelona,5,Saturday,6.387261186657979
LEBL,Barcelona,6,Sunday,7.8259927575720285
EDDM,Munich,0,Monday,3.1056394461117254
EDDM,Munich,1,Tuesday,2.305716748060902
EDDM,Munich,2,Wednesday,2.538750577723001
EDDM,Munich,3,Thursday,3.622059231769502
EDDM,Munich,4,Friday,4.09002163870654
EDDM,Munich,5,Saturday,3.1002509046906273
EDDM,Munich,6,Sunday,3.424891939779704
EGKK,London Gatwick,0,Monday,11.646002891059618
EGKK,London Gatwick,1,Tuesday,9.848960300198378
EGKK,London Gatwick,2,Wednesday,10.473961964520877
EGKK,London Gatwick,3,Thursday,13.089554572714716
EGKK,London Gatwick,4,Friday,14.248259755036019
EGKK,London Gatwick,5,Saturday,13.493514132867347
EGKK,London Gatwick,6,Sunday,13.746536207544095
LIRF,Rome Fiumicino,0,Monday,0.03683591393525035
LIRF,Rome Fiumicino,1,Tuesday,-1.080975010299905
LIRF,Rome Fiumicino,2,Wednesday,-0.752747763448356
LIRF,Rome Fiumicino,3,Thursday,0.31817391586390326
LIRF,Rome Fiumicino,4,Friday,0.7946562398175302
LIRF,Rome Fiumicino,5,Saturday,-1.031420181138878
LIRF,Rome Fiumicino,6,Sunday,0.44236388983840375
EIDW,Dublin,0,Monday,2.1131701662407463
EIDW,Dublin,1,Tuesday,-0.17336664636509608
EIDW,Dublin,2,Wednesday,1.3776526970805536
EIDW,Dublin,3,Thursday,2.1911618538147835
EIDW,Dublin,4,Friday,3.2352798982188293
EIDW,Dublin,5,Saturday,1.8605019479148674
EIDW,Dublin,6,Sunday,1.7294593836060974
LATI,Tirana,0,Monday,3.7619294669878327
LATI,Tirana,1,Tuesday,3.647003972261496
LATI,Tirana,2,Wednesday,3.7748187676198146
LATI,Tirana,3,Thursday,4.230288699307616
LATI,Tirana,4,Friday,4.74803310838092
LATI,Tirana,5,Saturday,4.577884064201777
LATI,Tirana,6,Sunday,4.968100986500519
LQSA,Sarajevo,0,Monday,4.173358585858586
LQSA,Sarajevo,1,Tuesday,3.411626055104316
LQSA,Sarajevo,2,Wednesday,4.787917637917638
LQSA,Sarajevo,3,Thursday,4.54067977442463
LQSA,Sarajevo,4,Friday,6.147064511672883
LQSA,Sarajevo,5,Saturday,7.604608963890401
LQSA,Sarajevo,6,Sunday,7.297975596228508
LBSF,Sofia,0,Monday,0.04121995655525191
LBSF,Sofia,1,Tuesday,-0.5653947135000887
LBSF,Sofia,2,Wednesday,0.08660052114652235
LBSF,Sofia,3,Thursday,0.05305328076028713
LBSF,Sofia,4,Friday,1.5567454733089408
LBSF,Sofia,5,Saturday,1.802926665171563
LBSF,Sofia,6,Sunday,1.3292429473096907
LBBG,Burgas,0,Monday,1.339585326953748
LBBG,Burgas,1,Tuesday,-1.4979662844261492
LBBG,Burgas,2,Wednesday,-1.0449866310160427
LBBG,Burgas,3,Thursday,0.5456098162535454
LBBG,Burgas,4,Friday,0.5927602289590842
LBBG,Burgas,5,Saturday,0.64984532095901
LBBG,Burgas,6,Sunday,0.13766459897703776
LDZA,Zagreb,0,Monday,2.327897550501731
LDZA,Zagreb,1,Tuesday,2.3032019132534596
LDZA,Zagreb,2,Wednesday,2.007418036350987
LDZA,Zagreb,3,Thursday,3.1959405597435233
LDZA,Zagreb,4,Friday,3.7557990587272356
LDZA,Zagreb,5,Saturday,3.3826004251986124
LDZA,Zagreb,6,Sunday,3.4645317205868067
LDSP,Split,0,Monday,4.221200548374461
LDSP,Split,1,Tuesday,3.2355754023630108
LDSP,Split,2,Wednesday,3.8968121693121693
LDSP,Split,3,Thursday,4.448236354273944
LDSP,Split,4,Friday,5.329449239621866
LDSP,Split,5,Saturday,5.695640074211503
LDSP,Split,6,Sunday,5.770287279727528
LDDU,Dubrovnik,0,Monday,1.9098805411629245
LDDU,Dubrovnik,1,Tuesday,2.08236160188457
LDDU,Dubrovnik,2,Wednesday,3.476764250862787
LDDU,Dubrovnik,3,Thursday,3.632180916976456
LDDU,Dubrovnik,4,Friday,4.498073094425483
LDDU,Dubrovnik,5,Saturday,3.3502265223066883
LDDU,Dubrovnik,6,Sunday,4.139998268847918
BKPR,Pristina,0,Monday,3.6455450948287624
BKPR,Pristina,1,Tuesday,3.3084555012587
BKPR,Pristina,2,Wednesday,4.011126775271512
BKPR,Pristina,3,Thursday,4.169989260303397
BKPR,Pristina,4,Friday,5.21329744816587
BKPR,Pristina,5,Saturday,6.074244604316547
BKPR,Pristina,6,Sunday,4.817760400695083
LYTV,Tivat,0,Monday,2.484554230550823
LYTV,Tivat,1,Tuesday,2.9984742530197077
LYTV,Tivat,2,Wednesday,2.5737572688051022
LYTV,Tivat,3,Thursday,3.1774720693680174
LYTV,Tivat,4,Friday,5.50043922696055
LYTV,Tivat,5,Saturday,4.163576404327849
LYTV,Tivat,6,Sunday,3.9497632971317183
LWSK,Skopje,0,Monday,1.6658966797728267
LWSK,Skopje,1,Tuesday,0.5072119924457035
LWSK,Skopje,2,Wednesday,1.60030498136225
LWSK,Skopje,3,Thursday,2.3810258964143425
LWSK,Skopje,4,Friday,2.9377771029456423
LWSK,Skopje,5,Saturday,3.3630981346309814
LWSK,Skopje,6,Sunday,2.463048876848403
