Airport,Airport Name,Hour,Mean Delay
EGLL,London Heathrow,0,-39.38626126126126
EGLL,London Heathrow,1,-323.18809523809523
EGLL,London Heathrow,2,-231.04259259259257
EGLL,London Heathrow,3,18.727780175514315
EGLL,London Heathrow,4,25.08945443645084
EGLL,London Heathrow,5,23.946937798440235
EGLL,London Heathrow,6,19.347373157023522
EGLL,London Heathrow,7,18.51746839129046
EGLL,London Heathrow,8,20.616733876653225
EGLL,London Heathrow,9,21.028864401591672
EGLL,London Heathrow,10,20.810212122135233
EGLL,London Heathrow,11,20.142839067852055
EGLL,London Heathrow,12,20.35085974444109
EGLL,London Heathrow,13,19.659271202349593
EGLL,London Heathrow,14,20.69755133558895
EGLL,London Heathrow,15,18.202194479561737
EGLL,London Heathrow,16,17.30705864411771
EGLL,London Heathrow,17,17.36124002227585
EGLL,London Heathrow,18,16.122696819787986
EGLL,London Heathrow,19,14.313606222002752
EGLL,London Heathrow,20,9.94042938721722
EGLL,London Heathrow,21,6.338149539397191
EGLL,London Heathrow,22,3.432128013300083
EGLL,London Heathrow,23,-5.742887931034483
LFPG,Paris Charles de Gaulle,0,0.2832766054004992
LFPG,Paris Charles de Gaulle,1,4.559081272084806
LFPG,Paris Charles de Gaulle,2,9.315482233502538
LFPG,Paris Charles de Gaulle,3,13.588356256742179
LFPG,Paris Charles de Gaulle,4,15.198859737025904
LFPG,Paris Charles de Gaulle,5,12.905157017168088
LFPG,Paris Charles de Gaulle,6,10.269990601914587
LFPG,Paris Charles de Gaulle,7,10.07476301206322
LFPG,Paris Charles de Gaulle,8,9.46735936803903
LFPG,Paris Charles de Gaulle,9,7.923114145218665
LFPG,Paris Charles de Gaulle,10,8.289815468140569
LFPG,Paris Charles de Gaulle,11,9.458965351083618
LFPG,Paris Charles de Gaulle,12,7.221269552649369
LFPG,Paris Charles de Gaulle,13,6.955857125838859
LFPG,Paris Charles de Gaulle,14,8.514770144480613
LFPG,Paris Charles de Gaulle,15,8.924678336325552
LFPG,Paris Charles de Gaulle,16,9.440944426167587
LFPG,Paris Charles de Gaulle,17,8.850918224924477
LFPG,Paris Charles de Gaulle,18,6.65183738829485
LFPG,Paris Charles de Gaulle,19,3.9393804548776816
LFPG,Paris Charles de Gaulle,20,3.567191702432046
LFPG,Paris Charles de Gaulle,21,3.180487064780136
LFPG,Paris Charles de Gaulle,22,1.0276842948717948
LFPG,Paris Charles de Gaulle,23,-1.3092293667733903
EHAM,Amsterdam Schiphol,0,3.5282554517133957
EHAM,Amsterdam Schiphol,1,4.998355359765052
EHAM,Amsterdam Schiphol,2,13.942861562258313
EHAM,Amsterdam Schiphol,3,15.369508743094553
EHAM,Amsterdam Schiphol,4,13.931362388469458
EHAM,Amsterdam Schiphol,5,10.737476396756637
EHAM,Amsterdam Schiphol,6,12.9717545854781
EHAM,Amsterdam Schiphol,7,14.525592858071645
EHAM,Amsterdam Schiphol,8,13.63481001989144
EHAM,Amsterdam Schiphol,9,12.349996786750394
EHAM,Amsterdam Schiphol,10,12.565521757383273
