Airport,Airport Name,Month,Mean Delay
EGLL,London Heathrow,3,16.93509973393788
EGLL,London Heathrow,6,19.59019279298836
EGLL,London Heathrow,7,-448.1333333333333
EGLL,London Heathrow,9,17.291073846100538
EGLL,London Heathrow,12,19.452273660018058
LFPG,Paris Charles de Gaulle,1,-34.325
LFPG,Paris Charles de Gaulle,3,7.314961334710734
LFPG,Paris Charles de Gaulle,4,-48.30833333333333
LFPG,Paris Charles de Gaulle,6,9.749097826364261
LFPG,Paris Charles de Gaulle,7,-322.3333333333333
LFPG,Paris Charles de Gaulle,9,7.545472362484313
LFPG,Paris Charles de Gaulle,10,-22.308333333333334
LFPG,Paris Charles de Gaulle,12,8.720479315127937
EHAM,Amsterdam Schiphol,3,10.917859115243731
EHAM,Amsterdam Schiphol,6,11.829471553540378
EHAM,Amsterdam Schiphol,7,-19.15
EHAM,Amsterdam Schiphol,9,10.138786105585703
EHAM,Amsterdam Schiphol,10,-11.175
EHAM,Amsterdam Schiphol,12,11.275562290837911
EDDF,Frankfurt,3,2.3927201693021614
EDDF,Frankfurt,6,5.487167527927654
EDDF,Frankfurt,9,3.3565307356611296
EDDF,Frankfurt,12,3.3659037601453208
LEMD,Madrid Barajas,1,-21.05
LEMD,Madrid Barajas,3,5.835204820268158
LEMD,Madrid Barajas,6,8.01040027835327
LEMD,Madrid Barajas,7,-4.125
LEMD,Madrid Barajas,9,6.266855830522777
LEMD,Madrid Barajas,10,-78.28333333333333
LEMD,Madrid Barajas,12,6.314855260799427
LEBL,Barcelona,3,5.481970743915133
LEBL,Barcelona,6,8.245738693035518
LEBL,Barcelona,9,8.161329387831788
LEBL,Barcelona,10,-31.0
LEBL,Barcelona,12,3.2918925849183798
EDDM,Munich,3,1.4014940344208637
EDDM,Munich,4,-590.6166666666667
EDDM,Munich,6,4.796508076941098
EDDM,Munich,9,3.3527878962032664
EDDM,Munich,12,2.9965947244722373
EGKK,London Gatwick,1,-25.3
EGKK,London Gatwick,3,8.583741059124614
EGKK,London Gatwick,4,-21.14333333333333
EGKK,London Gatwick,6,16.336286723654386
EGKK,London Gatwick,7,-18.466666666666665
EGKK,London Gatwick,9,13.755464336572619
EGKK,London Gatwick,10,-12.654166666666667
EGKK,London Gatwick,12,9.857776253271338
LIRF,Rome Fiumicino,1,-31.216666666666665
LIRF,Rome Fiumicino,3,-1.0828170316420633
LIRF,Rome Fiumicino,4,-15.316666666666666
LIRF,Rome Fiumicino,6,1.6487175646124972
LIRF,Rome Fiumicino,7,-20.844444444444445
LIRF,Rome Fiumicino,9,0.3813370086358779
LIRF,Rome Fiumicino,10,-18.6
LIRF,Rome Fiumicino,12,-2.1208122870247554
EIDW,Dublin,1,-49.15
EIDW,Dublin,3,-0.7316583488025319
EIDW,Dublin,4,-19.97222222222222
EIDW,Dublin,6,4.88259476383985
EIDW,Dublin,7,-19.491666666666667
EIDW,Dublin,9,2.1077298396535578
EIDW,Dublin,10,-17.405555555555555
EIDW,Dublin,12,0.3057528781887532
LATI,Tirana,3,2.2679926215277777
LATI,Tirana,6,6.07686616399623
LATI,Tirana,7,-25.425
LATI,Tirana,9,4.355665024630541
LATI,Tirana,12,3.609360219068957
LQSA,Sarajevo,3,2.7523881959233347
LQSA,Sarajevo,6,7.3788930789707186
LQSA,Sarajevo,9,5.760102501025011
LQSA,Sarajevo,12,4.5384737484737485
LBSF,Sofia,3,-0.9284094136741732
LBSF,Sofia,4,-3.1
LBSF,Sofia,6,2.5332522478692545
LBSF,Sofia,7,-17.966666666666665
LBSF,Sofia,9,-0.26416465795915317
LBSF,Sofia,10,-28.916666666666668
LBSF,Sofia,12,0.9906073213145788
LBBG,Burgas,3,4.830019880715706
LBBG,Burgas,6,1.496958274652749
LBBG,Burgas,9,-1.8111128369749059
LBBG,Burgas,10,-26.3
LBBG,Burgas,12,1.4826026443980516
LDZA,Zagreb,3,0.7655392755392755
LDZA,Zagreb,6,4.832905358385526
LDZA,Zagreb,9,3.4397905502948447
LDZA,Zagreb,12,2.1255077548005907
LDSP,Split,3,0.5052242054854158
LDSP,Split,6,6.487734688755021
LDSP,Split,9,4.228086546630491
LDSP,Split,12,1.8870092975206612
LDDU,Dubrovnik,3,0.8163650075414781
LDDU,Dubrovnik,6,4.733968095712862
LDDU,Dubrovnik,9,2.8430510598308447
LDDU,Dubrovnik,12,-0.36076115485564303
BKPR,Pristina,3,3.6741218789674144
BKPR,Pristina,6,6.659105224678028
BKPR,Pristina,7,-8.466666666666667
BKPR,Pristina,9,2.604959349593496
BKPR,Pristina,12,5.2860852713178295
LYTV,Tivat,3,-0.2734713203463203
LYTV,Tivat,6,5.165606085391788
LYTV,Tivat,9,3.17501378423084
LYTV,Tivat,12,1.7083333333333333
LWSK,Skopje,3,0.05509317202058128
LWSK,Skopje,6,5.184422252313248
LWSK,Skopje,9,1.701027316613682
LWSK,Skopje,12,0.9806546324488908
